name,epoch,true_mean_post-pre,shuffled_mean_post-pre,shuffled_std_post-pre,z-score,p-value,modulation
population,Baseline,-0.02603808045387268,-0.011223978362977505,0.11450611799955368,-0.12937389314174652,0.38999998569488525,0.0
up_modulated,Baseline,,,,,,
down_modulated,Baseline,,,,,,
non_modulated,Baseline,-0.026038065552711487,-0.009540379978716373,0.10564548522233963,-0.15616083145141602,0.38999998569488525,0.0
C00,Baseline,0.11820194125175476,0.012263458222150803,0.05859906226396561,1.807852864265442,0.17000000178813934,0.0
C01,Baseline,-0.3158862590789795,-0.02604110911488533,0.1947558969259262,-1.488248348236084,0.05999999865889549,0.0
C02,Baseline,-0.6454024910926819,-0.0075944578275084496,0.40341973304748535,-1.5810035467147827,0.05999999865889549,0.0
C03,Baseline,0.13357466459274292,0.0803983211517334,0.27304667234420776,0.19475184381008148,0.4699999988079071,0.0
C04,Baseline,-0.12430598586797714,-0.019329320639371872,0.28376713395118713,-0.3699394762516022,0.33000001311302185,0.0
C05,Baseline,-0.11008858680725098,-0.022007497027516365,0.20440632104873657,-0.4309117794036865,0.2800000011920929,0.0
C06,Baseline,-0.02802518755197525,-0.027224089950323105,0.25419265031814575,-0.003151537152007222,0.44999998807907104,0.0
C07,Baseline,0.02726113796234131,-0.028348086401820183,0.4687424302101135,0.11863493174314499,0.4099999964237213,0.0
C08,Baseline,0.2323615550994873,0.06899398565292358,0.43518370389938354,0.37539908289909363,0.44999998807907104,0.0
C09,Baseline,0.6150009632110596,-0.08057120442390442,0.3898026943206787,1.7844210863113403,0.18000000715255737,0.0
C10,Baseline,-0.030583128333091736,0.06237040087580681,0.33346953988075256,-0.27874669432640076,0.3100000023841858,0.0
C11,Baseline,0.28769323229789734,-0.027378125116229057,0.34580186009407043,0.9111325740814209,0.3100000023841858,0.0
C12,Baseline,-0.15211324393749237,0.003782721934840083,0.2609715759754181,-0.5973675847053528,0.23000000417232513,0.0
C13,Baseline,-0.018249645829200745,-0.007354568224400282,0.2993636727333069,-0.03639411926269531,0.3799999952316284,0.0
C14,Baseline,0.09625785052776337,0.00519380159676075,0.3038369119167328,0.2997135818004608,0.47999998927116394,0.0
C15,Baseline,-0.14955906569957733,-0.013504230417311192,0.2703482210636139,-0.503257691860199,0.25,0.0
C16,Baseline,-0.03717491030693054,-0.07323690503835678,0.2620352804660797,0.13762266933918,0.4699999988079071,0.0
C17,Baseline,-0.03358864784240723,-0.022181201726198196,0.31628137826919556,-0.03606739640235901,0.41999998688697815,0.0
C18,Baseline,-0.2893313467502594,-0.04300374165177345,0.2109811007976532,-1.1675339937210083,0.09000000357627869,0.0
C19,Baseline,-0.09680432081222534,-0.05970771610736847,0.21705444157123566,-0.17090921103954315,0.3700000047683716,0.0
population,Early Drug,-0.04842028021812439,0.02153039164841175,0.1439841389656067,-0.48582205176353455,0.25,0.0
up_modulated,Early Drug,,,,,,
down_modulated,Early Drug,,,,,,
non_modulated,Early Drug,-0.048420295119285583,0.018731437623500824,0.13449449837207794,-0.4992898106575012,0.25,0.0
C00,Early Drug,-0.10980649292469025,-0.06400737166404724,0.2551432251930237,-0.17950357496738434,0.36000001430511475,0.0
C01,Early Drug,-1.1368858814239502,-0.09022016823291779,0.7649810910224915,-1.3682242631912231,0.05000000074505806,0.0
C02,Early Drug,-0.5580935478210449,-0.016890769824385643,0.669691801071167,-0.8081371188163757,0.12999999523162842,0.0
C03,Early Drug,-0.06815949082374573,0.034411944448947906,0.43732497096061707,-0.2345428317785263,0.3199999928474426,0.0
C04,Early Drug,0.42047250270843506,0.05167558416724205,0.384961873292923,0.9580089449882507,0.25999999046325684,0.0
C05,Early Drug,0.15151923894882202,-0.03437386825680733,0.36141449213027954,0.5143488049507141,0.4099999964237213,0.0
C06,Early Drug,0.4527231454849243,0.05051881819963455,0.38110509514808655,1.0553632974624634,0.25,0.0
C07,Early Drug,0.15300987660884857,0.08121666312217712,0.4211365580558777,0.17047490179538727,0.49000000953674316,0.0
C08,Early Drug,-0.12735259532928467,0.013622941449284554,0.2225838154554367,-0.6333593130111694,0.25999999046325684,0.0
C09,Early Drug,0.16136956214904785,0.0033297690097242594,0.3207063674926758,0.49278658628463745,0.3700000047683716,0.0
C10,Early Drug,0.22627994418144226,0.05542799085378647,0.22599776089191437,0.7559895515441895,0.3199999928474426,0.0
C11,Early Drug,-0.2919731140136719,-0.03175973519682884,0.30952778458595276,-0.8406785726547241,0.1599999964237213,0.0
C12,Early Drug,0.18985453248023987,0.07715415209531784,0.24124056100845337,0.4671701192855835,0.46000000834465027,0.0
C13,Early Drug,-0.38499873876571655,0.03926263377070427,0.2928996682167053,-1.4484870433807373,0.05000000074505806,0.0
C14,Early Drug,0.20521220564842224,0.03480079770088196,0.3172154128551483,0.5372103452682495,0.36000001430511475,0.0
C15,Early Drug,-0.03864479064941406,0.05118024721741676,0.30198782682418823,-0.2974458634853363,0.33000001311302185,0.0
C16,Early Drug,0.0981249287724495,0.06277325004339218,0.33972251415252686,0.10406045615673065,0.4699999988079071,0.0
C17,Early Drug,-0.12327039241790771,0.0616033636033535,0.3265218138694763,-0.5661911368370056,0.2199999988079071,0.0
C18,Early Drug,0.032291531562805176,0.07660632580518723,0.3544466197490692,-0.12502530217170715,0.4099999964237213,0.0
C19,Early Drug,-0.22007790207862854,-0.025724656879901886,0.3410343825817108,-0.5698934197425842,0.23999999463558197,0.0
population,Late Drug,0.07852983474731445,-0.006360167637467384,0.13075046241283417,0.6492519974708557,0.4099999964237213,0.0
up_modulated,Late Drug,,,,,,
down_modulated,Late Drug,,,,,,
non_modulated,Late Drug,0.07852983474731445,-0.005533343646675348,0.12197466194629669,0.689185619354248,0.2800000011920929,0.0
C00,Late Drug,-0.07568751275539398,0.012825286015868187,0.24081622064113617,-0.36755332350730896,0.23000000417232513,0.0
C01,Late Drug,-0.23864488303661346,-0.04519306495785713,0.3720734417438507,-0.5199291110038757,0.25999999046325684,0.0
C02,Late Drug,0.03903733938932419,-0.05467630922794342,0.6628118753433228,0.14138799905776978,0.4300000071525574,0.0
C03,Late Drug,-0.29983580112457275,0.10675392299890518,0.856742799282074,-0.4745761752128601,0.2800000011920929,0.0
C04,Late Drug,-0.27961990237236023,-0.04332466050982475,0.5615836381912231,-0.42076587677001953,0.3199999928474426,0.0
C05,Late Drug,0.35254138708114624,0.059344641864299774,0.4510848820209503,0.6499813199043274,0.3400000035762787,0.0
C06,Late Drug,-0.29009711742401123,-0.05955766886472702,0.5138270258903503,-0.4486713111400604,0.28999999165534973,0.0
C07,Late Drug,0.1317567229270935,-0.06743895262479782,0.33838993310928345,0.5886572599411011,0.3700000047683716,0.0
C08,Late Drug,-0.28265073895454407,-0.1888822317123413,0.3423272967338562,-0.27391478419303894,0.36000001430511475,0.0
C09,Late Drug,0.060194581747055054,0.0035594613291323185,0.26003894209861755,0.2177947610616684,0.47999998927116394,0.0
C10,Late Drug,-0.05600664019584656,0.09880242496728897,0.4165799617767334,-0.3716190755367279,0.3400000035762787,0.0
C11,Late Drug,0.2394866645336151,0.07852641493082047,0.3419052064418793,0.47077450156211853,0.4099999964237213,0.0
C12,Late Drug,0.0021059811115264893,0.03770372271537781,0.3075995445251465,-0.11572755128145218,0.36000001430511475,0.0
C13,Late Drug,0.4113072156906128,0.029121804982423782,0.4925784468650818,0.7758873701095581,0.28999999165534973,0.0
C14,Late Drug,0.015933558344841003,0.07506335526704788,0.4575430154800415,-0.12923330068588257,0.3400000035762787,0.0
C15,Late Drug,0.28874289989471436,-0.019062146544456482,0.3090330958366394,0.9960262179374695,0.25999999046325684,0.0
C16,Late Drug,0.05772709846496582,-0.006301512476056814,0.2859189808368683,0.2239397019147873,0.47999998927116394,0.0
C17,Late Drug,0.7531877756118774,-0.07718206197023392,0.6266465187072754,1.3251008987426758,0.1899999976158142,0.0
C18,Late Drug,0.38392186164855957,-0.0032583570573478937,0.3209535479545593,1.206343412399292,0.23000000417232513,0.0
C19,Late Drug,0.3571963906288147,-0.06402736157178879,0.6094682812690735,0.6911332011222839,0.3199999928474426,0.0
