Time,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline
,population_mean,population_sem,population_shuffled_mean,population_shuffled_lower_conf,population_shuffled_upper_conf,up_modulated_mean,up_modulated_sem,down_modulated_mean,down_modulated_sem,non_modulated_mean,non_modulated_sem,C15_mean,C15_sem,C16_mean,C16_sem,C17_mean,C17_sem,C18_mean,C18_sem,C19_mean,C19_sem
-2,0.043955136090517044,0.18244843184947968,0.15202313661575317,-0.136792123,0.3554420396685601,,,0.013793046586215496,,0.045542642,0.14009851217269897,0.1619482785463333,0.6964372396469116,0.19707505404949188,0.5322245359420776,0.8299019932746887,0.10941866040229797,0.952099085,0.2145441174507141,0.8871772885322571,0.3959464728832245
-1.9,0.085452639,0.2620859742164612,0.1406470090150833,-0.099205739,0.43124304562807086,,,0.15058504045009613,,0.082024604,0.11482443660497665,0.5677908062934875,0.5666844248771667,-0.828331649,0.5267308354377747,0.59734416,0.25081855058670044,1.0084322690963745,0.48669806122779846,0.25015220046043396,0.20525003969669342
-1.8,0.19844602048397064,0.15708276629447937,0.13788607716560364,-0.089730566,0.376896645,,,0.16766123473644257,,0.2000662386417389,0.1266150027513504,0.7826454639434814,0.5970950722694397,0.7568936347961426,0.27164265513420105,1.233826756477356,0.5983936786651611,0.21330218017101288,0.4388289451599121,0.28017658,0.5137853026390076
-1.7,0.2768017053604126,0.041753754019737244,0.1235399916768074,-0.138196407,0.3799519479274751,,,0.25804078578948975,,0.2777891159057617,0.1536143571138382,0.749226987,0.22610458731651306,-0.663088977,0.051528927,0.006870131,0.3531910479068756,1.289076328277588,0.43448716402053833,-0.100091547,0.6379801034927368
-1.6,0.35349974036216736,0.13021418452262878,0.14624345302581787,-0.084285229,0.42822794467210784,,,0.6740668416023254,,0.3366277813911438,0.12733574211597443,0.8893548846244812,0.4072609543800354,0.6558395028114319,0.31303709745407104,0.759922981,0.3035149872303009,1.3135616779327393,0.38100337982177734,0.27977418899536133,0.8260135650634766
-1.5,0.16476504504680634,0.096781529,0.14309082925319672,-0.093625296,0.37885891199111943,,,0.5397725701332092,,0.14502781629562378,0.12458980083465576,0.3941981792449951,0.4689321517944336,-0.277462512,0.35392534732818604,0.47635677456855774,0.2612888216972351,1.424394130706787,0.096920125,1.1139065027236938,0.2084357589483261
-1.4,0.21063560247421265,0.11226768046617508,0.1557283252477646,-0.093165445,0.422427012,,,-0.652298033,,0.25605320930480957,0.14063246548175812,0.4743448793888092,0.15975891053676605,0.1161874309182167,0.541232169,1.552018165588379,0.805540919,1.3072181940078735,0.43454474210739136,0.18091325461864471,0.1904316395521164
-1.3,0.16979753971099854,0.28278717398643494,0.12402375042438507,-0.202205236,0.4038569435477258,,,-0.059292585,,0.18185491859912872,0.1432712823152542,-0.048346918,0.6438653469085693,-0.332866788,0.6117547750473022,0.596111536,0.5141164064407349,1.1046457290649414,0.3285023272037506,1.3044400215148926,0.094225861
-1.2,0.2152809500694275,0.082097165,0.1325325071811676,-0.25558297,0.35622564405202867,,,-0.030638278,,0.22822405397891998,0.13772112131118774,0.14406681060791016,0.47256040573120117,0.082254596,0.12535437941551208,0.616804838,0.2983231842517853,0.7115487456321716,0.2979251444339752,0.03952378,0.24035875499248505
-1.1,0.3254418671131134,0.14218983054161072,0.13573609292507172,-0.141645639,0.40884473919868475,,,0.087826163,,0.33794793486595154,0.1277073174715042,0.9991329312324524,0.055153061,0.41532984375953674,0.3368711769580841,0.2784290015697479,0.3027268946170807,0.6999637484550476,0.4978671073913574,0.40695860981941223,0.6765046715736389
-1,0.19066189229488373,0.19218967854976654,0.12477071583271027,-0.15928777,0.5004422679543498,,,0.9004953503608704,,0.15330222249031067,0.13309024274349213,0.6682034134864807,0.388222873,0.16243790090084076,0.27761679887771606,0.9826628565788269,0.4836336374282837,0.3671630322933197,0.43708351254463196,0.36658158898353577,0.3533321022987366
-0.9,0.049436766654253006,0.033383597,0.11862850189208984,-0.203602165,0.5212435081601148,,,-0.06569729,,0.055496443063020706,0.097122483,0.18012762069702148,0.3624414801597595,-0.143121421,0.27599042654037476,0.19146569073200226,0.31185653805732727,0.3993431329727173,0.25268974900245667,-0.149555758,0.5014166831970215
-0.8,0.24204961955547333,0.1047627255320549,0.13646569848060608,-0.138155386,0.4344272017478943,,,0.9388116002082825,,0.2053779810667038,0.12096095830202103,0.4741905629634857,0.2683890163898468,-0.492628008,0.2484629899263382,0.3579178750514984,0.3330222964286804,1.0704625844955444,0.24651099741458893,0.9509839415550232,0.28620806336402893
-0.7,0.036525901,0.062109168618917465,0.14047762751579285,-0.087759046,0.3638414055109024,,,0.4221135377883911,,0.016231814,0.087035537,0.3914700448513031,0.4025823473930359,0.19347010552883148,0.2486228197813034,-0.145852134,0.13616277277469635,-0.069803894,0.26421409845352173,0.35037729144096375,0.33715078234672546
-0.6,0.038445894,0.075093217,0.15944693982601166,-0.075294058,0.3904574468731881,,,0.9898832440376282,,-0.011629758,0.06995175,-0.188730702,0.5597952008247375,-0.14008984,0.2882421314716339,0.3223898410797119,0.33990782499313354,-0.476698965,0.095012054,0.19396597146987915,0.39019012451171875
-0.5,-0.208341286,0.16539360582828522,0.15585024654865265,-0.113955586,0.4691992312669755,,,0.6981499791145325,,-0.256051332,0.081210114,-0.450453371,0.6389092206954956,-0.512477994,0.4766715168952942,-0.25508064,0.5199695825576782,-0.150918946,0.3681638240814209,-0.02692169,0.4778684675693512
-0.4,-0.108255185,0.085047595,0.17431241273880005,-0.137067544,0.4760890603065491,,,-0.288822562,,-0.098751634,0.10811067372560501,-0.473806471,0.41892459988594055,-0.383955002,0.5902403593063354,-0.174081564,0.5194793343544006,0.562620997,0.07802546,-0.027150756,0.050311469
-0.3,-0.106146753,0.16686709225177765,0.18336006999015808,-0.063321602,0.436516136,,,-0.013151865,,-0.111041233,0.07717824,-0.431264728,0.6442452669143677,-0.024690352,0.1603507101535797,0.43678876757621765,0.34297946095466614,0.3227003514766693,0.44892752170562744,0.20366907119750977,0.5157723426818848
-0.2,0.002220124,0.1369093805551529,0.15867620706558228,-0.219839796,0.530568725,,,0.19819897413253784,,-0.008094542,0.12844887375831604,0.5623651146888733,0.6087502241134644,0.9272622466087341,0.6722370386123657,0.8524880409240723,0.20629176497459412,0.9662935137748718,0.6686251163482666,0.11711832135915756,0.3493480980396271
-0.1,0.16183750331401825,0.091485254,0.15123674273490906,-0.186243748,0.4654827892780306,,,0.36175379157066345,,0.1513155996799469,0.088450216,0.37736937403678894,0.35342538356781006,0.025768300518393517,0.12354964762926102,0.5762907862663269,0.35477960109710693,0.15363375842571259,0.3328489661216736,0.4422566890716553,0.5979411602020264
0,0.16013126075267792,0.16018450260162354,0.1435377150774002,-0.088205406,0.39911010116338735,,,-1.129123092,,0.22798673808574677,0.12811732292175293,0.7106521725654602,0.2860608696937561,0.1236824169754982,0.2999440133571625,0.9974191784858704,0.4404543340206146,1.0903264284133911,0.4169219136238098,0.028200349,0.1456361562013626
0.10000000000000009,0.47390174865722656,0.13192090392112732,0.13027410209178925,-0.160133035,0.39242227226495746,,,-0.292557091,,0.5142416954040527,0.15806341171264648,1.5104960203170776,0.20377594232559204,0.6103983521461487,0.3393831253051758,1.0358880758285522,0.3551885783672333,1.9335240125656128,0.7382945418357849,0.7935009598731995,0.4563199281692505
0.20000000000000018,0.274929404,0.1873718947172165,0.1289692521095276,-0.144311659,0.4323924571275712,,,-0.456555992,,0.3134286403656006,0.1257348358631134,0.918036699,0.23399093747138977,-0.216526315,1.0626949071884155,0.6680533289909363,1.0137211084365845,1.3703182935714722,0.2692698538303375,0.5600671172142029,0.21335655450820923
