name,epoch,true_mean_post-pre,shuffled_mean_post-pre,shuffled_std_post-pre,z-score,p-value,modulation
population,Baseline,0.010526403784751892,-0.013690501,0.082355633,0.2940528094768524,0.3400000035762787,0
up_modulated,Baseline,0.5467664003372192,-0.025507066,0.26897260546684265,2.127627372741699,0.01,1
down_modulated,Baseline,-0.65815562,0.047460988,0.3216806948184967,-2.193531036,0.01,-1
non_modulated,Baseline,0.017884299159049988,-0.016431335,0.086859696,0.3950697183609009,0.3199999928474426,0
C00,Baseline,0.49501287937164307,-0.09598504,0.34879934787750244,1.6943780183792114,0.029999999329447746,0
C01,Baseline,0.046598017,0.039520595,0.36504867672920227,0.019387612119317055,0.47999998927116394,0
C02,Baseline,-0.65815562,0.047460988,0.3216806948184967,-2.193531036,0.01,-1
C03,Baseline,-0.156213105,-0.028695729,0.16908004879951477,-0.754183412,0.1899999976158142,0
C04,Baseline,-0.182705313,0.05609053,0.23861275613307953,-1.00076735,0.11999999731779099,0
C05,Baseline,0.003673166,-0.025870126,0.21586380898952484,0.13686078786849976,0.46000000834465027,0
C06,Baseline,-0.324578851,0.074292034,0.26433977484703064,-1.508932471,0.050000001,0
C07,Baseline,-0.112891153,-0.008911861,0.3795657753944397,-0.273942739,0.38999998569488525,0
C08,Baseline,0.2719928026199341,-0.01831241,0.27048999071121216,1.0732567310333252,0.12999999523162842,0
C09,Baseline,0.54676646,-0.025507066,0.2689725458621979,2.1276280879974365,0.01,1
C10,Baseline,0.088786274,-0.018950552,0.3129066526889801,0.34430980682373047,0.33000001311302185,0
C11,Baseline,0.068227172,0.087878488,0.363565594,-0.054051638,0.4399999976158142,0
C12,Baseline,-0.159820348,-0.055027235,0.23038586974143982,-0.454859138,0.3100000023841858,0
C13,Baseline,-0.012270221,-0.032756418,0.19432063400745392,0.10542470961809158,0.46000000834465027,0
C14,Baseline,-0.252775073,-0.02284321,0.3108502924442291,-0.739686787,0.1899999976158142,0
C15,Baseline,0.031541944,-0.055429477,0.2321953922510147,0.3745613396167755,0.3199999928474426,0
C16,Baseline,0.206172913,-0.053859353,0.19927693903446198,1.304878830909729,0.039999999,0
C17,Baseline,0.2201574444770813,-0.042469539,0.18206502497196198,1.4424899816513062,0.050000001,0
C18,Baseline,0.28303006291389465,-0.050990909,0.24634285271167755,1.3559191226959229,0.059999999,0
C19,Baseline,-0.192021564,-0.043443754,0.34731122851371765,-0.427794427,0.28999999165534973,0
