name,epoch,true_mean_post-pre,shuffled_mean_post-pre,shuffled_std_post-pre,z-score,p-value,modulation
population,Baseline,0.1988944262266159,-0.020866005,0.10995028913021088,1.998725414276123,0.18000000715255737,0
up_modulated,Baseline,,,,,,
down_modulated,Baseline,-0.703410387,0.004970613,0.25785478949546814,-2.747209072,0,-1
non_modulated,Baseline,0.2463841289281845,-0.018491911,0.11030116677284241,2.4013893604278564,0,1
C15,Baseline,0.5921179056167603,-0.054391425,0.293266624,2.204510450363159,0.17000000178813934,0
C16,Baseline,0.3504209518432617,-0.016909631,0.32817333936691284,1.1193187236785889,0.30000001192092896,0
C17,Baseline,0.366129994,-0.012338394,0.28829020261764526,1.3128035068511963,0.25,0
C18,Baseline,0.644326925,-0.035373513,0.2917724847793579,2.3295562267303467,0.1899999976158142,0
C19,Baseline,0.2950916290283203,-0.086449638,0.262634277,1.4527473449707031,0.23000000417232513,0
