name,epoch,true_mean_post-pre,shuffled_mean_post-pre,shuffled_std_post-pre,z-score,p-value,modulation
population,Baseline,0.1055377721786499,0.014787533320486546,0.091463283,0.9922040700912476,0.1899999976158142,0
up_modulated,Baseline,0.6868835687637329,0.008963372,0.1592668890953064,4.256504535675049,0,1
down_modulated,Baseline,-0.560139298,0.015290243551135063,0.15949121117591858,-3.607907534,0,-1
non_modulated,Baseline,0.1160791739821434,0.015452715568244457,0.10237717628479004,0.9828993678092957,0.17000000178813934,0
C00,Baseline,-0.403568804,0.018261730670928955,0.17288517951965332,-2.439946175,0,-1
C01,Baseline,-0.119285896,0.025777287781238556,0.2775021195411682,-0.522746265,0.2800000011920929,0
C02,Baseline,-0.148358762,0.004203242,0.37413230538368225,-0.407775551,0.3799999952316284,0
C03,Baseline,0.4274631142616272,0.046107638627290726,0.297412634,1.2822436094284058,0.090000004,0
C04,Baseline,-0.597854674,-0.036656469,0.3976760506629944,-1.411194444,0.050000001,0
C05,Baseline,-0.032612264,0.021831594,0.20771358907222748,-0.262110233,0.4300000071525574,0
C06,Baseline,-0.470364749,0.017208008095622063,0.4523870050907135,-1.077777982,0.14000000059604645,0
C07,Baseline,0.37228891253471375,-0.016887035,0.39110586047172546,0.9950655102729797,0.10999999940395355,0
C08,Baseline,0.276041716,0.018523585,0.2293773889541626,1.1226831674575806,0.10000000149011612,0
C09,Baseline,0.8168990612030029,0.007472103,0.21020878851413727,3.850585699081421,0,1
C10,Baseline,0.13750606775283813,0.022659998387098312,0.24903899431228638,0.461156964,0.2800000011920929,0
