Time,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline
,population_mean,population_sem,population_shuffled_mean,population_shuffled_lower_conf,population_shuffled_upper_conf,up_modulated_mean,up_modulated_sem,down_modulated_mean,down_modulated_sem,non_modulated_mean,non_modulated_sem,C00_mean,C00_sem,C01_mean,C01_sem,C02_mean,C02_sem,C03_mean,C03_sem,C04_mean,C04_sem,C05_mean,C05_sem,C06_mean,C06_sem,C07_mean,C07_sem,C08_mean,C08_sem,C09_mean,C09_sem,C10_mean,C10_sem
-2,-0.022249514,0.035332534462213516,0.10224738717079163,-0.0889554,0.34105119183659555,-0.093768805,0.16504456102848053,0.6588156819343567,0.9721353054046631,-0.098442793,0.099560313,-0.313319534,0.039863016456365585,0.073476814,0.10785764455795288,-0.560623109,0.091481194,-0.524153948,0.046308282762765884,-0.319929808,0.2538072168827057,-0.472810179,0.16428051888942719,-0.333229035,0.3939669132232666,-0.027171711,0.20544734597206116,-0.093942769,0.22834235429763794,-0.258813351,0.59316963,-0.705582798,0.24527610838413239
-1.9,0.11832872778177261,0.053912006,0.086762644,-0.17003345,0.3585901357233521,-0.032709196,0.3932378888130188,0.7504291534423828,1.1076221466064453,0.0581959,0.13369515538215637,-0.357192963,0.065194324,0.073448323,0.20996825397014618,-0.796184838,0.13426409661769867,-0.358724147,0.075053796,-0.395482868,0.084088735,-0.74259907,0.3264905512332916,-0.256407142,0.21585577726364136,-0.170093939,0.14627905189990997,-0.156907111,0.29988646507263184,-0.4259471,0.22968575358390808,0.3862275183200836,0.4040883183479309
-1.8,0.15014582872390747,0.1311175525188446,0.090459377,-0.149909512,0.3260879203677173,0.10835975408554077,0.7156159281730652,0.5235095024108887,0.8373948335647583,0.10869861394166946,0.13431288301944733,-0.313885301,0.091985315,-0.060632203,0.16530199348926544,-0.909596264,0.3354061245918274,-0.010203739,0.3216327428817749,-0.438357383,0.18762557208538055,-0.518810749,0.393675834,-0.252454311,0.4414321482181549,-0.436128616,0.17476224899291992,0.06963829,0.28870826959609985,-0.607256114,0.7118088603019714,0.5692205429077148,0.1286589503288269
-1.7,0.19430343806743622,0.084170334,0.087631971,-0.178299522,0.2756572887301445,0.1321917176246643,0.713229239,0.28529512882232666,0.5198553204536438,0.1906934231519699,0.181900755,-0.234560207,0.047599044,-0.119251907,0.31723201274871826,-0.61524868,0.4196600317955017,0.27082574367523193,0.389336497,-0.399770975,0.20621468126773834,-0.721611977,0.10536738485097885,-0.139589891,0.15998494625091553,-0.551331639,0.1707398146390915,-0.145140201,0.20551563799381256,-0.581037462,0.4567645192146301,0.6127768754959106,0.5333358645439148
-1.6,0.3278956711292267,0.14996854960918427,0.10297047346830368,-0.094992287,0.34433281794190385,0.09538196,0.3894968330860138,0.3409182131290436,0.5721002817153931,0.35533207654953003,0.17076000571250916,-0.231182054,0.057918005,-0.210979506,0.2490634322166443,-0.423221141,0.071864821,0.481733114,0.7905413508415222,-0.157897428,0.2886005938053131,-0.765851796,0.2701689600944519,0.091991015,0.3483673632144928,-0.62834388,0.21614228188991547,-0.02014778,0.364646852,-0.294114858,0.35880962014198303,0.9314627647399902,0.4806038439273834
-1.5,0.10160722583532333,0.20089945197105408,0.11864329129457474,-0.067060355,0.3682248033583163,-0.310402334,0.45129501819610596,-0.014377855,0.2359548807144165,0.16760654747486115,0.15841606259346008,-0.250332743,0.011343081,-0.219589129,0.1923293173313141,-0.331150502,0.14557203650474548,0.5855380296707153,0.9763222336769104,-0.111088403,0.2973233759403229,-1.085090995,0.46913498640060425,-0.103600889,0.25321319699287415,-0.66501981,0.26844483613967896,-0.315778017,0.3870977759361267,-0.761697352,0.2966024875640869,0.8057395815849304,0.7699704170227051
-1.4,0.16745227575302124,0.070964538,0.090637863,-0.121102791,0.37275888770818677,-0.289990455,0.14161722362041473,0.11458803713321686,0.33517664670944214,0.2312406599521637,0.17483869194984436,-0.220588624,0.015861731,-0.388790607,0.23985671997070312,-0.739974737,0.17639490962028503,0.389294297,0.8028171062469482,-0.104931436,0.3916873335838318,-0.596571267,0.2423378825187683,0.39739251136779785,0.027203915640711784,-0.663331926,0.24129796028137207,-0.211838722,0.35867708921432495,-0.431607693,0.4738207757472992,0.5332130789756775,0.43012765049934387
-1.3,-0.026981404,0.13479426503181458,0.10073793679475784,-0.073070617,0.28747683987021444,-0.305746019,0.18062929809093475,0.3834019899368286,0.6395225524902344,-0.043433759,0.099768117,-0.256120563,0.019705417,-0.302726209,0.3407776653766632,-0.701808453,0.086591691,0.089202136,0.6242347955703735,-0.026858011,0.4443396031856537,-0.457141638,0.3606046140193939,-0.083176948,0.18611538410186768,-0.48597455,0.1609167605638504,-0.251998991,0.43684715032577515,-0.486375332,0.6325557827949524,0.080298819,0.8987212777137756
-1.2,0.10904324799776077,0.079867564,0.095425516,-0.077939585,0.3155999600887298,0.031923488,0.2795005440711975,0.7947418093681335,1.1388092041015625,0.032970898,0.11930569261312485,-0.344067335,0.031666283,-0.191755116,0.38028037548065186,-0.992387474,0.3267804980278015,-0.04660983,0.3944239020347595,0.18506819009780884,0.4007878601551056,-0.510933101,0.44162389636039734,-0.161818907,0.3121044337749481,-0.242091835,0.11854834109544754,-0.329093367,0.4169265627861023,-0.247577071,0.2770909368991852,0.38009557127952576,0.47367846965789795
