Time,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline
,population_mean,population_sem,population_shuffled_mean,population_shuffled_lower_conf,population_shuffled_upper_conf,up_modulated_mean,up_modulated_sem,down_modulated_mean,down_modulated_sem,non_modulated_mean,non_modulated_sem,C00_mean,C00_sem,C01_mean,C01_sem,C02_mean,C02_sem,C03_mean,C03_sem,C04_mean,C04_sem,C05_mean,C05_sem,C06_mean,C06_sem,C07_mean,C07_sem,C08_mean,C08_sem,C09_mean,C09_sem,C10_mean,C10_sem,C11_mean,C11_sem,C12_mean,C12_sem,C13_mean,C13_sem,C14_mean,C14_sem,C15_mean,C15_sem,C16_mean,C16_sem,C17_mean,C17_sem,C18_mean,C18_sem,C19_mean,C19_sem
-2,0.32305178,0.21452338993549347,0.24933524429798126,0.033917759,0.48982308208942393,0.6573346257209778,,-0.162450418,,0.3314528465270996,0.12867774069309235,-0.489389181,0.12127397209405899,-0.11736884,0.11848113685846329,-0.162450418,0.2647456228733063,-0.26266399,0.20020341873168945,-0.209451318,0.13542132079601288,-0.37840119,0.2469939887523651,-0.181602776,0.18577156960964203,0.5179895758628845,0.8335794806480408,0.657984734,0.31114864349365234,0.6573346257209778,0.5196778178215027,0.043003279715776443,0.39490339159965515,1.3998322486877441,0.6183732748031616,0.4245971739292145,0.7062525153160095,0.7081447243690491,0.31116676330566406,0.6112285852432251,0.5994841456413269,0.4207080602645874,0.3879580497741699,1.0004843473434448,0.18268874287605286,1.1419860124588013,0.2727079689502716,0.5283114314079285,0.7432661652565002,0.1507583111524582,0.44345465302467346
-1.9,0.3349819481372833,0.26222020387649536,0.23958677053451538,0.032652233,0.5004101730883119,0.46529221534729004,,-0.04226302,,0.34870052337646484,0.14176346361637115,-0.470073551,0.063481256,-0.120321713,0.055963986,-0.04226302,0.2922148108482361,-0.036474127,0.3137584924697876,-0.306899011,0.1424582153558731,-0.329120904,0.091350995,-0.133631527,0.16467520594596863,0.3346071243286133,0.6995328068733215,1.2012356519699097,0.6319106817245483,0.46529221534729004,0.17281778156757355,-0.071516991,0.5465610027313232,1.1601160764694214,0.283847451,0.9419862627983093,1.065529704093933,0.36474332213401794,0.519781768,0.3702477514743805,0.3914392292499542,1.1013973951339722,0.608410656,0.328113854,0.8008313179016113,1.4266133308410645,0.5506224632263184,0.6633248329162598,0.533524215,-0.147738382,0.6559693217277527
-1.8,0.1666456013917923,0.06602823,0.24496737122535706,0.019703473523259164,0.536825559,-0.337669462,,-0.46885553,,0.22996872663497925,0.11465469002723694,-0.379217237,0.098044582,-0.176126704,0.1557241827249527,-0.46885553,0.3834744691848755,0.012300769798457623,0.3103835880756378,-0.166437462,0.22069677710533142,0.5390214920043945,0.2570011615753174,-0.263871759,0.1105009913444519,0.273582786,0.60768646,1.4081554412841797,0.802934468,-0.337669462,0.9938647747039795,-0.214607373,0.48539724946022034,0.7610613703727722,0.18877451121807098,0.22843234241008759,0.22316041588783264,0.3617217540740967,0.22260691225528717,0.607920766,0.6054496765136719,-0.110906683,0.5556586980819702,0.5714713931083679,0.34770631790161133,0.8707336783409119,0.5665680766105652,0.084330618,0.042575799,-0.268127978,0.650046706
-1.7,0.24427247047424316,0.13185341656208038,0.23179955780506134,-0.031589715,0.4743119232356547,0.40344420075416565,,-0.32649374,,0.26713886857032776,0.15718349814414978,-0.437902689,0.042935327,-0.015726507,0.3210233151912689,-0.32649374,0.25536853075027466,-0.07549005,0.22189012169837952,-0.25531137,0.24762669205665588,0.041426535695791245,0.1711806356906891,-0.329613298,0.12725313007831573,0.053921897,0.5641395449638367,1.4958906173706055,0.7229878306388855,0.40344420075416565,0.9836137890815735,-0.446164131,0.7413794994354248,-0.027160665,0.29618749022483826,0.25948962569236755,0.7209211587905884,0.2051600217819214,0.3501654863357544,0.7387241721153259,0.6899104714393616,0.8408648371696472,0.4624979496002197,1.4215224981307983,0.050762191,1.517750621,0.3291832208633423,0.3159235417842865,0.6074945330619812,-0.494806498,0.6021260619163513
-1.6,0.26664817333221436,0.14381469786167145,0.22281427681446075,-0.050149057,0.518199998,0.4363133907318115,,-0.387636662,,0.29357147216796875,0.11930245161056519,-0.480934143,0.049873333,-0.038591456,0.12052645534276962,-0.387636662,0.24542880058288574,-0.101983726,0.19204697012901306,0.004849931,0.2592044472694397,-0.12085703,0.031012302,-0.082136653,0.026413267478346825,0.015312989242374897,0.5380868315696716,1.317794919013977,0.5271815657615662,0.4363133907318115,0.4632050395011902,-0.371538401,0.5938621163368225,0.7510294914245605,0.33978521823883057,0.3469606935977936,0.5329188108444214,0.6400755047798157,0.058396320790052414,0.5275545716285706,0.7887077331542969,0.9212405681610107,0.30200091004371643,0.5868449211120605,0.15982051193714142,0.8576516509056091,0.5114250183105469,0.6651227474212646,0.5431566834449768,-0.154109731,0.4687945246696472
-1.5,0.20103199779987335,0.10540030896663666,0.23090535402297974,-0.031809719,0.5537703648209567,1.181113839149475,,-0.602249801,,0.1912097930908203,0.12150871008634567,-0.559427977,0.051638085,0.20437364280223846,0.4232705533504486,-0.602249801,0.4737262427806854,-0.115903676,0.1039157509803772,-0.04313435,0.4489275813102722,-0.252719253,0.18094095587730408,-0.28579545,0.26559171080589294,-0.048707228,0.4672260582447052,1.1340473890304565,0.34188222885131836,1.181113839149475,0.8494862914085388,-0.525722504,0.3189353346824646,0.6748456954956055,0.21822217106819153,-0.165768102,0.4848104417324066,0.36156389117240906,0.37055596709251404,0.1984577178955078,0.7504504323005676,0.35836124420166016,0.3843078911304474,1.1162009239196777,0.5544394850730896,0.9412733912467957,0.26728370785713196,0.42628875374794006,0.062430736,0.023541828617453575,0.3716025948524475
-1.4,0.17970190942287445,0.23707325756549835,0.2275647222995758,-0.065721984,0.5887325584888441,0.47181227803230286,,-0.59056741,,0.20626628398895264,0.09172833,-0.537247121,0.051884852,0.078904398,0.3700686991214752,-0.59056741,0.4052080512046814,-0.005081842,0.20876698195934296,0.10099772363901138,0.41750428080558777,0.18290548026561737,0.37013688683509827,-0.004139423,0.15279090404510498,-0.041216176,0.4589001536369324,1.0968172550201416,0.35308992862701416,0.47181227803230286,0.5740171074867249,-0.168231413,0.5114040374755859,0.6320399641990662,0.090701126,0.33348211646080017,0.4352339208126068,0.203892782,0.082902528,0.15293549001216888,0.5105657577514648,0.5295453667640686,0.48644357919692993,0.020455569,0.5706897377967834,0.9450696110725403,0.5170265436172485,0.073920995,0.8298660516738892,0.11774244159460068,0.12580662965774536
-1.3,0.13575445115566254,0.15303398668766022,0.23486347496509552,-0.039999139,0.5159996740519995,0.5864368677139282,,-0.132292405,,0.12560804188251495,0.1122647374868393,-0.525350749,0.030076757073402405,-0.037934344,0.2608506381511688,-0.132292405,0.5761568546295166,-0.081945233,0.2524271607398987,-0.047160268,0.4161214530467987,0.22562332451343536,0.25522613525390625,-0.15950717,0.089185774,-0.038403828,0.37529441714286804,1.0440489053726196,0.3537353575229645,0.5864368677139282,0.6316103339195251,-0.779672205,0.7381930947303772,0.6694607734680176,0.1773107498884201,-0.289666623,0.6224997043609619,0.36226320266723633,0.090439387,0.4094003736972809,0.7034852504730225,0.346229225,0.3802303969860077,0.14949564635753632,0.5691298842430115,1.0433753728866577,0.6283750534057617,-0.104904361,0.678405225,0.075592868,0.6599400043487549
-1.2,0.31345054507255554,0.10129287838935852,0.22667255997657776,0.000405561,0.5792261362075806,0.4585404098033905,,0.8855636715888977,,0.27360591292381287,0.096371911,-0.499694258,0.063427448,-0.109837554,0.12972986698150635,0.8855636715888977,1.2124897241592407,-0.049331784,0.2745467722415924,-0.105013765,0.46346136927604675,0.17171569168567657,0.15554401278495789,-0.019065848,0.11823748052120209,-0.116014875,0.3321443796157837,0.9039562344551086,0.28883814811706543,0.4585404098033905,0.32876068353652954,0.17148835957050323,0.3441711366176605,0.5007860064506531,0.24774178862571716,0.6071990132331848,0.5900505185127258,0.4763784408569336,0.5471607446670532,0.500891387,0.698954701,0.9236087799072266,0.2632371187210083,0.5856323838233948,0.25350701808929443,0.8274199366569519,0.5390012264251709,0.20867609977722168,0.25871601700782776,-0.053887788,0.4492878317832947
-1.1,0.1676112413406372,0.10127879679203033,0.22235338389873505,0.016215349989943208,0.4819289445877075,0.21023137867450714,,1.2841001749038696,,0.10321632027626038,0.12550780177116394,-0.51780957,0.049527906,-0.017141303,0.12600566446781158,1.2841001749038696,1.6502338647842407,-0.166375652,0.20515687763690948,-0.214940429,0.24436433613300323,0.2849927842617035,0.3049418032169342,-0.343441367,0.07032913,-0.296144068,0.24921679496765137,0.9164231419563293,0.17970050871372223,0.21023137867450714,0.6355108022689819,-0.721900225,0.5028645992279053,0.8880391716957092,0.073160782,0.15584230422973633,0.4373018443584442,0.8404156565666199,1.3302611112594604,-0.46709621,0.5293044447898865,0.6125667691230774,0.096944258,0.3604949414730072,0.1605278104543686,0.7302897572517395,0.042917434,0.24487827718257904,0.5088713765144348,-0.431200266,0.40507224202156067
