name,epoch,true_mean_post-pre,shuffled_mean_post-pre,shuffled_std_post-pre,z-score,p-value,modulation
population,Baseline,0.1988944262266159,-0.02086600475013256,0.10995028913021088,1.998725414276123,0.18000000715255737,0.0
up_modulated,Baseline,,,,,,
down_modulated,Baseline,-0.7034103870391846,0.004970612935721874,0.25785478949546814,-2.747209072113037,0.0,-1.0
non_modulated,Baseline,0.2463841289281845,-0.01849191077053547,0.11030116677284241,2.4013893604278564,0.0,1.0
C00,Baseline,0.3215015232563019,-0.02027130499482155,0.18196576833724976,1.8782259225845337,0.20000000298023224,0.0
C01,Baseline,0.06586207449436188,-0.009458298794925213,0.2905023992061615,0.25927624106407166,0.44999998807907104,0.0
C02,Baseline,0.1400679647922516,-0.06198956444859505,0.36227861046791077,0.5577406883239746,0.3799999952316284,0.0
C03,Baseline,0.46739956736564636,0.08886760473251343,0.342848539352417,1.104079246520996,0.23000000417232513,0.0
C04,Baseline,-0.318661630153656,-0.06956344842910767,0.44883057475090027,-0.5549938082695007,0.20000000298023224,0.0
C05,Baseline,-0.048469506204128265,0.019762691110372543,0.30246010422706604,-0.22559072077274323,0.36000001430511475,0.0
C06,Baseline,-0.025612443685531616,-0.06316648423671722,0.39947834610939026,0.0940077006816864,0.44999998807907104,0.0
C07,Baseline,0.31900647282600403,-0.0851912647485733,0.4141448438167572,0.975981593132019,0.3199999928474426,0.0
C08,Baseline,-0.052428603172302246,0.04043543338775635,0.20999905467033386,-0.44221168756484985,0.2199999988079071,0.0
C09,Baseline,0.025092046707868576,-0.021429697051644325,0.2940525710582733,0.1582089364528656,0.46000000834465027,0.0
C10,Baseline,0.35861441493034363,-0.006758681032806635,0.32138338685035706,1.136876106262207,0.23999999463558197,0.0
C11,Baseline,-0.7034103274345398,0.005988691933453083,0.28302162885665894,-2.506518840789795,0.0,-1.0
C12,Baseline,0.5197768807411194,-0.04675166681408882,0.27769944071769714,2.0400781631469727,0.17000000178813934,0.0
C13,Baseline,0.06573837995529175,0.0023101642727851868,0.3438943922519684,0.1844409704208374,0.44999998807907104,0.0
C14,Baseline,0.5953245759010315,0.015358399599790573,0.27411729097366333,2.1157591342926025,0.1899999976158142,0.0
C15,Baseline,0.5921179056167603,-0.05439142510294914,0.293266624212265,2.204510450363159,0.17000000178813934,0.0
C16,Baseline,0.3504209518432617,-0.016909630969166756,0.32817333936691284,1.1193187236785889,0.30000001192092896,0.0
C17,Baseline,0.366129994392395,-0.012338394299149513,0.28829020261764526,1.3128035068511963,0.25,0.0
C18,Baseline,0.64432692527771,-0.0353735126554966,0.2917724847793579,2.3295562267303467,0.1899999976158142,0.0
C19,Baseline,0.2950916290283203,-0.08644963800907135,0.26263427734375,1.4527473449707031,0.23000000417232513,0.0
population,Early Drug,0.058599114418029785,0.016132492572069168,0.0885305181145668,0.47968342900276184,0.44999998807907104,0.0
up_modulated,Early Drug,,,,,,
down_modulated,Early Drug,-0.8437888622283936,-0.00154861097689718,0.33719751238822937,-2.497765302658081,0.019999999552965164,-1.0
