name,epoch,true_mean_post-pre,shuffled_mean_post-pre,shuffled_std_post-pre,z-score,p-value,modulation
population,Baseline,0.1055377721786499,0.014787533320486546,0.09146328270435333,0.9922040700912476,0.1899999976158142,0.0
up_modulated,Baseline,0.6868835687637329,0.008963371627032757,0.1592668890953064,4.256504535675049,0.0,1.0
down_modulated,Baseline,-0.5601392984390259,0.015290243551135063,0.15949121117591858,-3.60790753364563,0.0,-1.0
non_modulated,Baseline,0.1160791739821434,0.015452715568244457,0.10237717628479004,0.9828993678092957,0.17000000178813934,0.0
C00,Baseline,-0.4035688042640686,0.018261730670928955,0.17288517951965332,-2.439946174621582,0.0,-1.0
C01,Baseline,-0.11928589642047882,0.025777287781238556,0.2775021195411682,-0.5227462649345398,0.2800000011920929,0.0
C02,Baseline,-0.1483587622642517,0.004203242249786854,0.37413230538368225,-0.40777555108070374,0.3799999952316284,0.0
C03,Baseline,0.4274631142616272,0.046107638627290726,0.297412633895874,1.2822436094284058,0.09000000357627869,0.0
C04,Baseline,-0.5978546738624573,-0.036656469106674194,0.3976760506629944,-1.4111944437026978,0.05000000074505806,0.0
C05,Baseline,-0.03261226415634155,0.02183159440755844,0.20771358907222748,-0.26211023330688477,0.4300000071525574,0.0
C06,Baseline,-0.4703647494316101,0.017208008095622063,0.4523870050907135,-1.0777779817581177,0.14000000059604645,0.0
C07,Baseline,0.37228891253471375,-0.016887035220861435,0.39110586047172546,0.9950655102729797,0.10999999940395355,0.0
C08,Baseline,0.276041716337204,0.01852358505129814,0.2293773889541626,1.1226831674575806,0.10000000149011612,0.0
C09,Baseline,0.8168990612030029,0.007472102530300617,0.21020878851413727,3.850585699081421,0.0,1.0
C10,Baseline,0.13750606775283813,0.022659998387098312,0.24903899431228638,0.461156964302063,0.2800000011920929,0.0
C11,Baseline,0.5197823643684387,0.06364477425813675,0.2520575523376465,1.8096565008163452,0.05000000074505806,0.0
C12,Baseline,0.35448727011680603,-0.002133894944563508,0.2344895750284195,1.5208401679992676,0.05000000074505806,0.0
C13,Baseline,-0.7167099118232727,0.012318759225308895,0.27207010984420776,-2.6795616149902344,0.0,-1.0
C14,Baseline,0.5079746246337891,-0.0340227372944355,0.30042657256126404,1.8040926456451416,0.07000000029802322,0.0
C15,Baseline,-0.07141974568367004,0.03068646416068077,0.21286150813102722,-0.4796837866306305,0.36000001430511475,0.0
C16,Baseline,0.4140077829360962,0.005669780541211367,0.26155874133110046,1.561171293258667,0.09000000357627869,0.0
C17,Baseline,0.5568680763244629,0.010454640723764896,0.22882525622844696,2.387907028198242,0.019999999552965164,1.0
C18,Baseline,0.171439528465271,0.05332626774907112,0.17272579669952393,0.6838194727897644,0.25999999046325684,0.0
C19,Baseline,0.11617150902748108,0.02730497345328331,0.23702043294906616,0.3749319314956665,0.33000001311302185,0.0
population,Early Drug,-0.0989249050617218,-0.011898047290742397,0.14089688658714294,-0.6176634430885315,0.20999999344348907,0.0
up_modulated,Early Drug,,,,,,
down_modulated,Early Drug,-0.6065658926963806,0.02512618526816368,0.20802654325962067,-3.036593437194824,0.0,-1.0
non_modulated,Early Drug,-0.04252034053206444,-0.013235639780759811,0.13421083986759186,-0.218199223279953,0.3100000023841858,0.0
C00,Early Drug,0.20245759189128876,0.012154505588114262,0.5177689790725708,0.36754438281059265,0.36000001430511475,0.0
C01,Early Drug,-0.012992873787879944,-0.06399588286876678,0.34271275997161865,0.14882144331932068,0.4300000071525574,0.0
C02,Early Drug,-0.34080347418785095,-0.045983199030160904,0.4259643256664276,-0.6921243667602539,0.1899999976158142,0.0
C03,Early Drug,-0.17047615349292755,0.09203419834375381,0.5482532978057861,-0.47881218791007996,0.25999999046325684,0.0
C04,Early Drug,-0.6573463082313538,0.013378327712416649,0.3402092456817627,-1.9715062379837036,0.019999999552965164,-1.0
C05,Early Drug,0.0730995163321495,0.02241281233727932,0.3429851830005646,0.14778102934360504,0.4000000059604645,0.0
C06,Early Drug,-0.2212340235710144,-0.006820419803261757,0.2653208076953888,-0.808129608631134,0.15000000596046448,0.0
C07,Early Drug,-0.12166665494441986,-0.057445380836725235,0.3587266802787781,-0.17902565002441406,0.3499999940395355,0.0
C08,Early Drug,0.35351788997650146,-0.0029502217657864094,0.2962420880794525,1.2032999992370605,0.30000001192092896,0.0
C09,Early Drug,-0.555785596370697,0.050232257694005966,0.34284859895706177,-1.7675960063934326,0.019999999552965164,-1.0
C10,Early Drug,-0.09511032700538635,0.019892824813723564,0.5006270408630371,-0.22971822321414948,0.2800000011920929,0.0
C11,Early Drug,0.14082475006580353,-0.028163665905594826,0.30792516469955444,0.548797070980072,0.4699999988079071,0.0
C12,Early Drug,-0.2315560281276703,0.0031643579714000225,0.39667195081710815,-0.591724157333374,0.1599999964237213,0.0
