,time,state
0,0.0,not_defined
1,0.099922,not_defined
2,0.199844,quad 4
3,0.299766,quad 4
4,0.399688,quad 4
5,0.49961,quad 4
6,0.599532,quad 4
7,0.699454,quad 4
8,0.799376,quad 4
9,0.8992979999999999,quad 4
10,0.99922,quad 4
11,1.099142,quad 4
12,1.199064,quad 4
13,1.298986,quad 4
14,1.398908,quad 4
15,1.4988299999999999,quad 4
16,1.598752,quad 4
17,1.698674,quad 4
18,1.7985959999999999,quad 4
19,1.898518,quad 4
20,1.99844,quad 4
21,2.098362,quad 4
22,2.198284,quad 4
23,2.298206,quad 4
24,2.398128,quad 4
25,2.49805,quad 4
26,2.597972,quad 4
27,2.697894,quad 4
28,2.797816,quad 4
29,2.897738,quad 4
30,2.9976599999999998,quad 4
31,3.097582,quad 4
32,3.197504,not_defined
33,3.2974259999999997,not_defined
34,3.397348,not_defined
35,3.49727,center
36,3.5971919999999997,center
37,3.697114,center
38,3.797036,center
39,3.8969579999999997,center
40,3.99688,center
41,4.096802,center
42,4.196724,center
43,4.296646,center
44,4.396568,center
45,4.49649,center
46,4.596412,not_defined
47,4.696334,not_defined
48,4.796256,not_defined
49,4.896178,not_defined
50,4.9961,not_defined
51,5.096022,quad 1
52,5.195944,quad 1
53,5.295866,quad 1
54,5.395788,quad 1
55,5.49571,quad 1
56,5.595632,quad 1
57,5.695554,quad 1
58,5.795476,quad 1
59,5.895398,quad 1
60,5.9953199999999995,quad 1
61,6.095242,quad 1
62,6.195164,quad 1
63,6.2950859999999995,quad 1
64,6.395008,quad 1
65,6.49493,quad 1
66,6.5948519999999995,quad 1
67,6.694774,quad 1
68,6.794696,quad 1
69,6.8946179999999995,quad 1
70,6.99454,quad 1
71,7.094462,quad 1
72,7.1943839999999994,quad 1
73,7.294306,quad 1
74,7.394228,quad 1
75,7.494149999999999,quad 1
76,7.594072,quad 1
77,7.693994,quad 1
78,7.793915999999999,quad 1
79,7.893838,quad 1
80,7.99376,quad 1
81,8.093682,quad 1
82,8.193604,quad 1
83,8.293526,quad 1
84,8.393448,quad 1
85,8.49337,quad 1
86,8.593292,quad 1
87,8.693214,quad 1
88,8.793136,quad 1
89,8.893058,quad 1
90,8.99298,quad 1
91,9.092902,quad 1
92,9.192824,quad 1
93,9.292746,quad 1
94,9.392668,quad 1
95,9.49259,quad 1
96,9.592512,quad 1
97,9.692434,quad 1
98,9.792356,quad 1
99,9.892278,quad 1
100,9.9922,quad 1
101,10.092122,quad 1
102,10.192044,quad 1
103,10.291966,quad 1
104,10.391888,quad 1
105,10.49181,quad 1
106,10.591732,quad 1
107,10.691654,quad 1
108,10.791576,quad 1
109,10.891498,quad 1
110,10.99142,quad 1
111,11.091342,quad 1
112,11.191264,quad 1
113,11.291186,quad 1
114,11.391108,quad 1
115,11.49103,quad 1
116,11.590952,quad 1
117,11.690873999999999,quad 1
118,11.790796,quad 1
119,11.890718,quad 1
120,11.990639999999999,quad 1
121,12.090562,quad 1
122,12.190484,quad 1
123,12.290405999999999,quad 1
124,12.390328,quad 1
125,12.49025,quad 1
126,12.590171999999999,quad 1
127,12.690094,quad 1
128,12.790016,quad 1
129,12.889937999999999,quad 1
130,12.98986,quad 1
131,13.089782,quad 1
132,13.189703999999999,quad 1
133,13.289626,quad 1
134,13.389548,quad 1
135,13.489469999999999,quad 1
136,13.589392,quad 1
137,13.689314,quad 1
138,13.789235999999999,quad 1
139,13.889158,quad 1
140,13.98908,quad 1
141,14.089001999999999,quad 1
142,14.188924,quad 1
143,14.288846,quad 1
144,14.388767999999999,quad 1
145,14.48869,quad 1
146,14.588612,quad 1
147,14.688533999999999,quad 1
148,14.788456,quad 1
149,14.888378,quad 1
150,14.988299999999999,quad 1
151,15.088222,quad 1
152,15.188144,quad 1
153,15.288065999999999,quad 1
154,15.387988,quad 1
155,15.48791,quad 1
156,15.587831999999999,quad 1
157,15.687754,quad 1
158,15.787676,quad 1
159,15.887597999999999,quad 1
160,15.98752,quad 1
161,16.087442,quad 1
162,16.187364,quad 1
163,16.287285999999998,quad 1
164,16.387208,quad 1
165,16.48713,quad 1
166,16.587052,quad 1
167,16.686974,quad 1
168,16.786896,quad 1
