Epoch,Cell,Activity
early drug,0,0.5910739451319471
early drug,1,0.06966090808735304
early drug,2,0.43722889771144624
early drug,3,0.5977300449319763
early drug,4,0.04148477438146771
early drug,5,0.29318959388089294
early drug,6,0.46707450104662307
early drug,7,0.674048205451794
early drug,8,0.010340492308006315
early drug,9,0.5685412140894568
early drug,10,0.2934800502599281
early drug,11,0.30579597380418105
early drug,12,0.5463980502817132
early drug,13,0.5469164078977506
early drug,14,0.5652640161364431
early drug,15,0.3098460400792824
early drug,16,0.5614036680202718
early drug,17,0.4470800650134553
early drug,18,0.36126848032824055
early drug,19,0.17323477573302667
early drug,20,0.3757701308215368
early drug,21,0.5109894257152223
early drug,22,0.2088956659849653
early drug,23,0.05092050836852251
early drug,24,0.741350943515263
early drug,25,0.053018260866724246
early drug,26,0.5327579994522169
early drug,27,0.30234778894050934
early drug,28,0.496134042095262
early drug,29,0.5720956999313712
early drug,30,0.4603239846801988
early drug,31,0.5794334400858847
early drug,32,0.44807905658980457
early drug,33,0.28043731943231737
early drug,34,0.5291669996951527
early drug,35,0.3543162430886313
early drug,36,0.0755341822280841
early drug,37,0.5891100443404105
early drug,38,0.5408021198710533
early drug,39,0.5759465288806144
early drug,40,0.5732802633264237
early drug,41,0.4955888966073938
early drug,42,0.5850704709139154
early drug,43,0.5047405078910788
early drug,44,0.45543710679062527
early drug,45,0.6820826138573973
early drug,46,0.3648186356960987
early drug,47,0.37855771233022945
early drug,48,0.39502167428974744
early drug,49,0.38034571155984226
early drug,50,0.5688881486106783
early drug,51,0.39245509124191047
early drug,52,0.17837649922232604
early drug,53,0.5254381262764932
early drug,54,0.40866868686727187
early drug,55,0.3336490943418217
early drug,56,0.47820003797986993
early drug,57,0.02999884188188388
early drug,58,0.6518044195829698
early drug,59,0.3735095749140815
early drug,60,0.5456363833375856
early drug,61,0.34216499260775934
early drug,62,0.47437419110441736
early drug,63,0.271502557042375
early drug,64,0.5049305501374104
early drug,65,0.40045123335104515
early drug,66,0.6296331981766115
early drug,67,0.5401261380978173
early drug,68,0.510530173512127
early drug,69,0.6897443687344451
early drug,70,0.37870505717584874
early drug,71,0.448023510440676
early drug,72,0.43754380123938164
early drug,73,0.5491495894962644
early drug,74,0.3194408939294152
early drug,75,0.35365661421239614
early drug,76,0.3518206655997792
early drug,77,0.45893351053043413
early drug,78,0.7321333715893317
early drug,79,0.3503593054972477
early drug,80,0.18721049772360238
early drug,81,0.027546200687128576
BASELINE,0,0.3679367422268231
BASELINE,1,0.04414865919460976
BASELINE,2,0.6190557591016691
BASELINE,3,0.4917825001954304
BASELINE,4,0.039877051683191424
BASELINE,5,0.4955012427115306
BASELINE,6,0.37817357638162075
BASELINE,7,0.6008619830703289
BASELINE,8,0.010872330192976995
BASELINE,9,0.3700777917372594
BASELINE,10,0.3403261364330836
BASELINE,11,0.41674576300945504
BASELINE,12,0.7935813020754985
BASELINE,13,0.6049538646206297
BASELINE,14,0.6961723567843433
BASELINE,15,0.25152221763290206
BASELINE,16,0.208187058284002
BASELINE,17,0.19127406614327122
BASELINE,18,0.33609908930165316
BASELINE,19,0.43359260418655216
BASELINE,20,0.2959437328971292
BASELINE,21,0.6146139545415805
BASELINE,22,0.05537941883544969
BASELINE,23,0.053390452872423555
BASELINE,24,0.34178858389589
BASELINE,25,0.04978315549014005
BASELINE,26,0.5922328936716564
BASELINE,27,0.25544752046523356
BASELINE,28,0.29400009121238574
BASELINE,29,0.5007837514696613
BASELINE,30,0.503832665060512
BASELINE,31,0.5509683165121112
BASELINE,32,0.3889673022872742
BASELINE,33,0.35465220555261645
BASELINE,34,0.6154713356185816
BASELINE,35,0.33429000420400895
BASELINE,36,0.074785524009453
BASELINE,37,0.649002913773766
BASELINE,38,0.3010456991166875
BASELINE,39,0.2667307922026925
BASELINE,40,0.43108295292118864
BASELINE,41,0.7031265001417403
BASELINE,42,0.688594891345391
BASELINE,43,0.5081557527763438
BASELINE,44,0.07063676109453698
BASELINE,45,0.5148376937698007
BASELINE,46,0.30807252141474334
BASELINE,47,0.2677383477622732
BASELINE,48,0.6247348913137935
BASELINE,49,0.1307320003529728
BASELINE,50,0.23331434791294656
BASELINE,51,0.38715182290414574
BASELINE,52,0.14026540294452983
BASELINE,53,0.2690633766185073
BASELINE,54,0.2972026546027187
BASELINE,55,0.413547836495827
BASELINE,56,0.5220869086022597
BASELINE,57,0.028897895338277427
BASELINE,58,0.5932870899581234
BASELINE,59,0.45449961915308495
BASELINE,60,0.36289780925262227
BASELINE,61,0.5244766541060502
BASELINE,62,0.0663557720894893
BASELINE,63,0.08628797810776216
BASELINE,64,0.5680504518830221
BASELINE,65,0.36273514352146313
BASELINE,66,0.3782783969330181
BASELINE,67,0.1607450050451915
BASELINE,68,0.3934119866373819
BASELINE,69,0.6098246947018814
BASELINE,70,0.19217257707837904
BASELINE,71,0.5341339245048359
BASELINE,72,0.5070553604576977
BASELINE,73,0.40548928617845464
BASELINE,74,0.44337811781763764
BASELINE,75,0.45692991898900237
BASELINE,76,0.43291093411845855
BASELINE,77,0.5333788253819878
BASELINE,78,0.36331252583719104
BASELINE,79,0.13534049906008733
BASELINE,80,0.2844111741384313
BASELINE,81,0.4678196568835673
late-Drug,0,0.34303601061742656
late-Drug,1,0.0392281272935042
late-Drug,2,0.684648666195019
late-Drug,3,0.42947845616880614
late-Drug,4,0.03516555641923802
late-Drug,5,0.48116524490798535
late-Drug,6,0.4625705594801019
late-Drug,7,0.7647440555325957
late-Drug,8,0.6577058127496542
late-Drug,9,0.15388000340814115
late-Drug,10,0.32216356722126155
late-Drug,11,0.6274884751898517
late-Drug,12,0.6957811479460722
late-Drug,13,0.5189534753727351
late-Drug,14,0.676648285055223
late-Drug,15,0.11995083036996228
late-Drug,16,0.13117975079176253
late-Drug,17,0.14692310443636267
late-Drug,18,0.2240230404998458
late-Drug,19,0.4978070566729057
late-Drug,20,0.21329355752078696
late-Drug,21,0.6136273059422591
late-Drug,22,0.14678761246121247
late-Drug,23,0.10112530380140845
late-Drug,24,0.09459469810347189
late-Drug,25,0.03763259780647306
late-Drug,26,0.36098980849730583
late-Drug,27,0.297462182003254
late-Drug,28,0.319618859382859
late-Drug,29,0.5753618768081076
late-Drug,30,0.5467179700527579
late-Drug,31,0.6310923806813771
late-Drug,32,0.2978360011345565
late-Drug,33,0.4247035871100848
late-Drug,34,0.6840520404293032
late-Drug,35,0.2850022225278636
late-Drug,36,0.08569592467858027
late-Drug,37,0.6298646338484307
late-Drug,38,0.2121479395665665
late-Drug,39,0.2145089751567617
late-Drug,40,0.41027341718709254
