name,true_mean_post-pre,shuffled_mean_post-pre,shuffled_std_post-pre,z-score,p-value,modulation
population,-0.00682423,-0.000138514,0.009591378,-0.697054784,0.214,0
up_modulated,0.119739043,0.000117452,0.031713835,3.771905585,0.001,1
down_modulated,-0.131676842,-0.000358758,0.035074565,-3.74396901,0,-1
non_modulated,-0.008102989,-0.000142909,0.010807369,-0.73654188,0.21,0
C000,0.082377093,0.000311363,0.068956686,1.190105495,0.117,0
C001,-0.059511782,-0.002502149,0.079161764,-0.720166271,0.226,0
C002,-0.097475877,0.000802733,0.074531884,-1.318611629,0.106,0
C003,-0.014125764,-0.001590203,0.066490022,-0.188532963,0.453,0
C004,0.005856919,-0.001221793,0.078268679,0.090441183,0.434,0
C005,-0.007953939,-0.001410455,0.051018481,-0.128257134,0.456,0
C006,-0.050307472,-0.000867286,0.0626868,-0.78868576,0.213,0
C007,-0.140234391,0.000943592,0.073359283,-1.924473319,0.021,-1
C008,-0.065071678,-0.002190883,0.072494153,-0.867391268,0.174,0
C009,-0.047183303,-0.006557556,0.060542723,-0.671026088,0.263,0
C010,-0.174324385,-0.003281796,0.080328524,-2.129288324,0.013,-1
C011,-0.064597495,-0.001865998,0.086740858,-0.723205873,0.238,0
C012,-0.098787852,-0.000485281,0.067141166,-1.464117722,0.062,0
C013,-0.110581958,0.001663535,0.063477505,-1.768271964,0.029,0
C014,-0.141676909,0.000731073,0.075130223,-1.895481941,0.029,0
C015,0.218605329,0.001981189,0.064488097,3.359133721,0.003,1
C016,0.04860943,-0.002548305,0.059383169,0.861485431,0.191,0
C017,0.076709032,-0.005258806,0.064725171,1.266398167,0.092,0
C018,0.039168353,-0.000578472,0.076806287,0.517494408,0.275,0
C019,0.004047797,-0.002601493,0.080701292,0.082393857,0.453,0
C020,-0.015736992,-0.00250327,0.072438046,-0.182690215,0.443,0
C021,-0.030764011,-0.002997865,0.074527524,-0.372562312,0.377,0
C022,0.001869386,0.001938126,0.06799716,-0.001010922,0.494,0
C023,-0.128483171,-0.000551669,0.077584359,-1.648934198,0.046,0
C024,-0.124921287,0.001241784,0.067111289,-1.879908339,0.022,-1
C025,0.056065355,0.001306561,0.079158238,0.691763684,0.242,0
C026,-0.037824477,0.001351719,0.078078189,-0.501755944,0.281,0
C027,-0.135527227,-0.000805837,0.067174854,-2.005533058,0.019,-1
C028,0.008712004,0.002460482,0.076129162,0.082117306,0.413,0
C029,0.027261247,-4.62E-05,0.068004469,0.401553992,0.326,0
C030,-0.070922842,0.000626817,0.075261755,-0.950677516,0.135,0
C031,0.01133161,-0.002248777,0.07332982,0.185195963,0.404,0
C032,-0.008568807,-0.001331313,0.062651847,-0.115519242,0.455,0
C033,-0.089776587,0.00283913,0.055267125,-1.675783154,0.041,0
C034,0.001523348,-0.000469982,0.058568813,0.034033979,0.408,0
C035,-0.039788679,-0.00192691,0.061723089,-0.61341339,0.257,0
C036,-0.076741966,-0.000138496,0.063340244,-1.209396515,0.113,0
C037,0.026291305,-0.002627984,0.045208451,0.639687675,0.273,0
C038,0.037224939,-0.002564154,0.062177003,0.639932622,0.262,0
C039,-0.030852729,0.002523341,0.039260908,-0.85010949,0.18,0
C040,-0.059776848,-0.000900994,0.0660677,-0.891144291,0.182,0
C041,0.028018154,-0.005852021,0.060412005,0.560653059,0.286,0
C042,-0.092269938,-0.003089407,0.066378616,-1.343512955,0.077,0
C043,0.009996335,-0.002536886,0.042325248,0.296116898,0.381,0
C044,-0.009507274,-0.000932088,0.048883993,-0.175419113,0.431,0
C045,-0.090306494,-0.00120836,0.065220132,-1.366113964,0.09,0
C046,0.03882004,-0.000830547,0.053681635,0.738624807,0.219,0
C047,0.040471227,0.000342053,0.091632598,0.437935571,0.303,0
C048,-0.05834157,-0.002606141,0.067054063,-0.831201386,0.207,0
C049,0.078360817,-0.002153658,0.059061451,1.363232253,0.094,0
C050,0.037415093,6.76E-05,0.054980281,0.679288906,0.234,0
C051,-0.009681579,-0.002625358,0.039205764,-0.179979188,0.468,0
C052,0.067949531,-0.004447538,0.062591155,1.156666123,0.116,0
C053,-0.076038832,-0.000777387,0.066754362,-1.127438601,0.123,0
C054,-0.034950586,-0.003890586,0.068445389,-0.453792447,0.318,0
C055,-0.030742321,-0.002574103,0.046175821,-0.61002094,0.265,0
C056,-0.07236104,-0.000651302,0.045131998,-1.588889046,0.05,0
