name,true_mean_post-pre,shuffled_mean_post-pre,shuffled_std_post-pre,z-score,p-value,modulation
population,0.037973611331098826,-0.00030191319981783107,0.00962188539231239,3.9779651253690576,0.0040000000000000036,1.0
up_modulated,0.22345512398892797,-0.0019846204400256065,0.0305587849528012,7.3772483028088605,0.0,1.0
down_modulated,-0.1385369435966591,0.0017427009532179202,0.023717167309472025,-5.914687986109241,0.0,-1.0
non_modulated,0.02419025926207417,-0.0002778725404502722,0.012287245824191821,1.9913438823165894,0.028000000000000025,0.0
C000,0.0682580538343582,-0.0004740812891459133,0.06896013202950152,0.9966937866954799,0.15200000000000002,0.0
C001,0.1037633461247282,-0.004801667983031015,0.07630451347974863,1.4227862698655773,0.08799999999999997,0.0
C002,0.1163118064047551,-0.0014299402279956167,0.06898840748863337,1.7066888614895193,0.05700000000000005,0.0
C003,-0.006761450379422912,0.0033293836578448073,0.06660213288143603,-0.15150917246496068,0.458,0.0
C004,0.19240824988368127,-0.0004980019324382351,0.0775583337463558,2.4872407966756183,0.015000000000000013,1.0
C005,0.17118752899090597,-0.002573524674796772,0.05305004267808059,3.2754177922178744,0.0,1.0
C006,-0.020686053171014407,-0.00013162183226342566,0.060977725288724006,-0.3370809790202506,0.399,0.0
C007,0.17716907447936442,-0.0031296405929386426,0.07454024452890043,2.418810351532968,0.01200000000000001,1.0
C008,0.012756448958836625,0.0011224286759760743,0.07367427274312864,0.15791157278774248,0.402,0.0
C009,-0.02045664719118037,-0.0007325020207767127,0.06722460887491619,-0.2934066185063877,0.399,0.0
C010,0.03209739741990003,-0.0038301867682244556,0.081071574936879,0.4431588286782034,0.29000000000000004,0.0
C011,0.09154113722481137,-0.002808816023258703,0.08632653057605359,1.0929427212987306,0.124,0.0
C012,-0.019246091967776255,-0.0022843879350090486,0.06819401058168197,-0.24872718128890045,0.42,0.0
C013,-0.03110328295159248,-0.0007302239745037092,0.06669251384506959,-0.45541931509205175,0.328,0.0
C014,0.10168930937972612,-0.0027052589942550957,0.08083797421563196,1.2914050529706869,0.10299999999999998,0.0
C015,0.037722001381733664,-0.0008113585254790333,0.06364030724327044,0.605486704517558,0.22999999999999998,0.0
C016,-0.013541291674340317,-2.056092964020431e-05,0.060047261603160804,-0.22516814894999973,0.461,0.0
C017,0.024175437185288112,0.00018322523754823807,0.06611427040388512,0.362890065959648,0.346,0.0
C018,0.015566879279062182,0.00021501073811849858,0.08058250588121856,0.19051118320362087,0.381,0.0
C019,0.3774671016124032,-0.001512833756821347,0.0802395990209201,4.723103554772461,0.0,1.0
C020,0.018238370964118733,-0.0022256109161098254,0.07300300506295002,0.2803169795898484,0.358,0.0
C021,0.15905883623102487,-0.0008407705129503351,0.07878783862002416,2.029496043356827,0.026000000000000023,0.0
C022,-0.009679899930218824,0.0013466624003739356,0.0682024295569733,-0.16167404009239372,0.433,0.0
C023,0.07631979003780374,-0.0006199607418010206,0.07757044260946959,0.9918694310790509,0.17000000000000004,0.0
C024,0.021251080698191913,-0.0001845426679394584,0.07161716914210069,0.29930844269478785,0.38,0.0
C025,0.17765716527634193,-0.0030839301117946603,0.07825894349466926,2.309526391708164,0.01200000000000001,1.0
C026,0.44600870555175104,-0.006259356447430542,0.07823029021541145,5.781239731488102,0.0,1.0
C027,0.06476788014409571,-0.0004892792702126559,0.07151486052391144,0.9124978911549331,0.16000000000000003,0.0
C028,-0.060654022778305144,-0.000457465107341377,0.07313460604495699,-0.8230926633276728,0.206,0.0
C029,0.15025312111280748,0.0010581158484930437,0.06532750008577702,2.283800927150385,0.019000000000000017,1.0
