Time,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug
,population_mean,population_sem,population_shuffled_mean,population_shuffled_lower_conf,population_shuffled_upper_conf,up_modulated_mean,up_modulated_sem,down_modulated_mean,down_modulated_sem,non_modulated_mean,non_modulated_sem,C00_mean,C00_sem,C01_mean,C01_sem,C02_mean,C02_sem,C06_mean,C06_sem,C07_mean,C07_sem,C08_mean,C08_sem,C09_mean,C09_sem,C10_mean,C10_sem,C11_mean,C11_sem,C13_mean,C13_sem,C14_mean,C14_sem,C15_mean,C15_sem,C16_mean,C16_sem,C18_mean,C18_sem
-2,0.2035471349954610,0.2953992784023290,0.19506005942821500,-0.028170423,0.506747559,,,,,0.2035471498966220,0.11136706173420000,-0.605292141,0.065940134,-0.352062583,0.077187113,0.3051951825618740,0.17204628884792300,0.4771387577056890,0.2391604632139210,-0.709585667,0.13043087720871000,0.7874972224235540,0.541453481,-0.335707545,0.3764646351337430,-0.290427715,0.37071502208709700,0.976371706,0.7810031771659850,0.38182827830314600,0.3384937047958370,-0.110393286,0.6588940620422360,0.18099991977214800,0.6117783188819890,0.2234107255935670,1.111652135849000,0.4831390380859380,0.23852041363716100
-1.9,0.275395006,0.23108872771263100,0.18805256485939000,-0.0868315,0.510040283,,,,,0.2753950357437130,0.12537430226802800,-0.48607555,0.10335874557495100,-0.219300732,0.081327163,0.6938455700874330,0.16550306975841500,0.4719749391078950,0.2891356647014620,-0.859371662,0.16932140290737200,1.1641534566879300,0.786013126,-0.264493138,0.5335610508918760,-0.367845863,0.4248729944229130,0.9146239161491390,0.39661654829978900,0.5685279965400700,0.31038612127304100,-0.323944837,0.6636996865272520,0.765735388,0.9037415385246280,-0.040133636,0.5232439637184140,0.8807962536811830,0.5808436274528500
-1.8,0.2519552707672120,0.355464906,0.1902560442686080,-0.117779292,0.5559132218360900,,,,,0.2519552409648900,0.13829372823238400,-0.519785404,0.088146806,-0.147273302,0.16775810718536400,0.6199204325675960,0.38679707050323500,0.35235467553138700,0.41649627685546900,-0.788756609,0.15301060676574700,1.4216461181640600,0.9817094802856450,-0.838825285,0.5291474461555480,-0.046868045,0.7126080989837650,0.5159208178520200,0.30552271008491500,0.8471546173095700,0.17901866137981400,-0.498560756,0.6675869226455690,-0.09320911,1.0831165313720700,0.34662559628486600,0.825966477,1.1842819452285800,0.6743427515029910
-1.7,0.10309475660324100,0.37475767731666600,0.17181168496608700,-0.179018128,0.5166909188032150,,,,,0.10309480130672500,0.12995806336402900,-0.502873957,0.10867853462696100,-0.327133745,0.15346677601337400,0.3620547354221340,0.3083808720111850,0.28313490748405500,0.32031071186065700,-0.884795845,0.1293487846851350,1.6280978918075600,1.0406811237335200,-0.269722015,0.4402047097682950,-0.610494077,0.4356578588485720,0.1487995833158490,0.32571175694465600,0.3773167133331300,0.36232370138168300,-0.695052803,0.4635539650917050,0.021536191925406500,0.9643704891204830,0.17731082439422600,1.151038408279420,0.22342967987060500,0.7299394607543950
-1.6,0.19834376871585800,0.34028294682502700,0.17502076923847200,-0.0922079,0.4915569305419920,,,,,0.19834378361702000,0.13969314098358200,-0.586383998,0.071413495,-0.281537026,0.18004493415355700,0.5374393463134770,0.28462597727775600,0.15213748812675500,0.28344956040382400,-0.799191296,0.14986947178840600,1.3350639343261700,0.8883389830589290,-0.601618111,0.20345911383628800,-0.449306101,0.6218807101249700,0.4430980682373050,0.19942551851272600,0.26899316906929000,0.32635051012039200,-0.592540383,0.7493148446083070,0.6689858436584470,0.6870255470275880,0.9067142009735110,0.2301860749721530,0.6167911887168880,0.6808457970619200
-1.5,0.15467561781406400,0.19782225787639600,0.17462722957134200,-0.167259265,0.4898617327213290,,,,,0.15467563271522500,0.1305420696735380,-0.597335041,0.096831642,-0.265966654,0.12831459939479800,0.6381624341011050,0.25653550028801000,0.426847905,0.22296284139156300,-0.791025937,0.10459312796592700,1.1358412504196200,0.7154479622840880,-0.844151795,0.22492307424545300,-0.182419464,0.5712357759475710,0.5302445888519290,0.16141973435878800,0.5109636783599850,0.050614014,-0.262225717,0.43925848603248600,-0.438423008,0.19897599518299100,0.7541417479515080,0.2811513841152190,0.5566559433937070,0.25185757875442500
-1.4,0.2128487229347230,0.14297281205654100,0.16770081222057300,-0.123875118,0.46185451745986900,,,,,0.2128487378358840,0.12338699400425000,-0.587298095,0.086915359,-0.193714306,0.090321317,0.18751578032970400,0.5047709345817570,0.21624751389026600,0.15683573484420800,-0.77990824,0.11513733863830600,1.1535922288894700,0.5847395062446590,-0.500979424,0.33379316329956100,0.094407059,0.3657391369342800,0.4075544774532320,0.2018599510192870,0.001928349,0.21578288078308100,0.012273848056793200,0.4102668762207030,0.22451217472553300,0.3106459677219390,0.34911999106407200,0.10842160880565600,0.5688324570655820,0.3534489870071410
-1.3,0.14961017668247200,0.13225895166397100,0.18245446681976300,-0.132631213,0.481188935,,,,,0.14961020648479500,0.12727521359920500,-0.554103673,0.079832807,-0.044088155,0.24728834629058800,0.6051134467124940,0.49145135283470200,0.12353119999170300,0.19160528481006600,-0.811475933,0.11597255617380100,1.0443999767303500,0.6329140067100530,-0.756830394,0.1799858957529070,-0.259088814,0.5853688716888430,0.4647007882595060,0.3270518481731420,0.8717390894889830,0.32260000705719000,-0.39876318,0.3133687376976010,0.059969973,0.3020040988922120,-0.349360198,0.5730946660041810,0.7626373767852780,0.291869193
-1.2,0.13885517418384600,0.18478213250637100,0.18190138041973100,-0.095330512,0.5127698183059690,,,,,0.1388551890850070,0.11182373762130700,-0.517881811,0.065527625,0.086802341,0.373181552,0.9081317782402040,1.2370165586471600,0.079692431,0.028973830863833400,-0.774667025,0.085062735,0.9242878556251530,0.4284757077693940,-0.726755619,0.3624166250228880,-0.312140971,0.25194600224494900,0.3905656635761260,0.23981520533561700,0.8350203633308410,0.2482009083032610,0.010922367684543100,0.4018571674823760,0.23046083748340600,0.33404719829559300,-0.274826199,0.43408122658729600,0.3114662170410160,0.38531655073165900
