Time,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug,Drug
,population_mean,population_sem,population_shuffled_mean,population_shuffled_lower_conf,population_shuffled_upper_conf,up_modulated_mean,up_modulated_sem,down_modulated_mean,down_modulated_sem,non_modulated_mean,non_modulated_sem,C00_mean,C00_sem,C01_mean,C01_sem,C02_mean,C02_sem,C03_mean,C03_sem,C04_mean,C04_sem,C05_mean,C05_sem,C06_mean,C06_sem,C07_mean,C07_sem,C08_mean,C08_sem,C09_mean,C09_sem,C10_mean,C10_sem,C11_mean,C11_sem,C12_mean,C12_sem,C13_mean,C13_sem,C14_mean,C14_sem,C15_mean,C15_sem,C16_mean,C16_sem,C17_mean,C17_sem,C18_mean,C18_sem,C19_mean,C19_sem
-2,0.32305178,0.21452338993549300,0.24933524429798100,0.033917759,0.48982308208942400,0.6573346257209780,,-0.162450418,,0.3314528465271000,0.12867774069309200,-0.489389181,0.12127397209405900,-0.11736884,0.11848113685846300,-0.162450418,0.2647456228733060,-0.26266399,0.20020341873168900,-0.209451318,0.13542132079601300,-0.37840119,0.2469939887523650,-0.181602776,0.18577156960964200,0.5179895758628850,0.8335794806480410,0.657984734,0.31114864349365200,0.6573346257209780,0.5196778178215030,0.043003279715776400,0.39490339159965500,1.3998322486877400,0.6183732748031620,0.4245971739292150,0.7062525153160100,0.7081447243690490,0.31116676330566400,0.6112285852432250,0.5994841456413270,0.4207080602645870,0.3879580497741700,1.0004843473434400,0.18268874287605300,1.1419860124588000,0.2727079689502720,0.5283114314079290,0.7432661652565000,0.1507583111524580,0.44345465302467300
-1.9,0.3349819481372830,0.26222020387649500,0.23958677053451500,0.032652233,0.5004101730883120,0.46529221534729000,,-0.04226302,,0.34870052337646500,0.14176346361637100,-0.470073551,0.063481256,-0.120321713,0.055963986,-0.04226302,0.2922148108482360,-0.036474127,0.3137584924697880,-0.306899011,0.1424582153558730,-0.329120904,0.091350995,-0.133631527,0.16467520594596900,0.3346071243286130,0.6995328068733220,1.2012356519699100,0.6319106817245480,0.46529221534729000,0.17281778156757400,-0.071516991,0.5465610027313230,1.1601160764694200,0.283847451,0.9419862627983090,1.065529704093930,0.36474332213401800,0.519781768,0.3702477514743810,0.3914392292499540,1.1013973951339700,0.608410656,0.328113854,0.8008313179016110,1.4266133308410600,0.5506224632263180,0.6633248329162600,0.533524215,-0.147738382,0.6559693217277530
-1.8,0.1666456013917920,0.06602823,0.24496737122535700,0.019703473523259200,0.536825559,-0.337669462,,-0.46885553,,0.22996872663497900,0.11465469002723700,-0.379217237,0.098044582,-0.176126704,0.1557241827249530,-0.46885553,0.3834744691848760,0.012300769798457600,0.3103835880756380,-0.166437462,0.22069677710533100,0.5390214920043950,0.2570011615753170,-0.263871759,0.1105009913444520,0.273582786,0.60768646,1.4081554412841800,0.802934468,-0.337669462,0.9938647747039800,-0.214607373,0.48539724946022000,0.7610613703727720,0.18877451121807100,0.22843234241008800,0.22316041588783300,0.3617217540740970,0.22260691225528700,0.607920766,0.6054496765136720,-0.110906683,0.5556586980819700,0.5714713931083680,0.34770631790161100,0.8707336783409120,0.5665680766105650,0.084330618,0.042575799,-0.268127978,0.650046706
-1.7,0.24427247047424300,0.13185341656208000,0.23179955780506100,-0.031589715,0.4743119232356550,0.40344420075416600,,-0.32649374,,0.26713886857032800,0.15718349814415000,-0.437902689,0.042935327,-0.015726507,0.3210233151912690,-0.32649374,0.25536853075027500,-0.07549005,0.22189012169838000,-0.25531137,0.24762669205665600,0.041426535695791200,0.1711806356906890,-0.329613298,0.12725313007831600,0.053921897,0.5641395449638370,1.4958906173706100,0.7229878306388860,0.40344420075416600,0.9836137890815740,-0.446164131,0.7413794994354250,-0.027160665,0.29618749022483800,0.25948962569236800,0.7209211587905880,0.2051600217819210,0.3501654863357540,0.7387241721153260,0.6899104714393620,0.8408648371696470,0.4624979496002200,1.4215224981308000,0.050762191,1.517750621,0.3291832208633420,0.3159235417842870,0.6074945330619810,-0.494806498,0.6021260619163510
-1.6,0.26664817333221400,0.14381469786167100,0.22281427681446100,-0.050149057,0.518199998,0.4363133907318120,,-0.387636662,,0.29357147216796900,0.11930245161056500,-0.480934143,0.049873333,-0.038591456,0.12052645534277000,-0.387636662,0.24542880058288600,-0.101983726,0.19204697012901300,0.004849931,0.2592044472694400,-0.12085703,0.031012302,-0.082136653,0.026413267478346800,0.015312989242374900,0.5380868315696720,1.317794919013980,0.5271815657615660,0.4363133907318120,0.4632050395011900,-0.371538401,0.5938621163368230,0.7510294914245610,0.33978521823883100,0.3469606935977940,0.5329188108444210,0.6400755047798160,0.058396320790052400,0.5275545716285710,0.7887077331542970,0.9212405681610110,0.30200091004371600,0.5868449211120610,0.15982051193714100,0.8576516509056090,0.5114250183105470,0.6651227474212650,0.5431566834449770,-0.154109731,0.4687945246696470
-1.5,0.20103199779987300,0.10540030896663700,0.23090535402298000,-0.031809719,0.5537703648209570,1.181113839149480,,-0.602249801,,0.1912097930908200,0.12150871008634600,-0.559427977,0.051638085,0.20437364280223800,0.4232705533504490,-0.602249801,0.4737262427806850,-0.115903676,0.1039157509803770,-0.04313435,0.4489275813102720,-0.252719253,0.18094095587730400,-0.28579545,0.26559171080589300,-0.048707228,0.4672260582447050,1.1340473890304600,0.34188222885131800,1.181113839149480,0.8494862914085390,-0.525722504,0.3189353346824650,0.6748456954956060,0.21822217106819200,-0.165768102,0.4848104417324070,0.36156389117240900,0.37055596709251400,0.1984577178955080,0.7504504323005680,0.35836124420166000,0.3843078911304470,1.1162009239196800,0.5544394850730900,0.9412733912467960,0.26728370785713200,0.42628875374794000,0.062430736,0.023541828617453600,0.3716025948524480
-1.4,0.17970190942287400,0.23707325756549800,0.2275647222995760,-0.065721984,0.5887325584888440,0.47181227803230300,,-0.59056741,,0.20626628398895300,0.09172833,-0.537247121,0.051884852,0.078904398,0.3700686991214750,-0.59056741,0.4052080512046810,-0.005081842,0.20876698195934300,0.10099772363901100,0.41750428080558800,0.18290548026561700,0.37013688683509800,-0.004139423,0.15279090404510500,-0.041216176,0.4589001536369320,1.0968172550201400,0.35308992862701400,0.47181227803230300,0.5740171074867250,-0.168231413,0.5114040374755860,0.6320399641990660,0.090701126,0.33348211646080000,0.4352339208126070,0.203892782,0.082902528,0.15293549001216900,0.5105657577514650,0.5295453667640690,0.48644357919693000,0.020455569,0.5706897377967830,0.9450696110725400,0.5170265436172490,0.073920995,0.8298660516738890,0.11774244159460100,0.12580662965774500
-1.3,0.13575445115566300,0.15303398668766000,0.23486347496509600,-0.039999139,0.5159996740520000,0.5864368677139280,,-0.132292405,,0.12560804188251500,0.1122647374868390,-0.525350749,0.030076757073402400,-0.037934344,0.2608506381511690,-0.132292405,0.5761568546295170,-0.081945233,0.2524271607398990,-0.047160268,0.4161214530467990,0.22562332451343500,0.25522613525390600,-0.15950717,0.089185774,-0.038403828,0.37529441714286800,1.0440489053726200,0.3537353575229650,0.5864368677139280,0.6316103339195250,-0.779672205,0.7381930947303770,0.6694607734680180,0.1773107498884200,-0.289666623,0.6224997043609620,0.36226320266723600,0.090439387,0.4094003736972810,0.7034852504730230,0.346229225,0.3802303969860080,0.14949564635753600,0.5691298842430120,1.0433753728866600,0.6283750534057620,-0.104904361,0.678405225,0.075592868,0.6599400043487550
-1.2,0.31345054507255600,0.10129287838935900,0.22667255997657800,0.000405561,0.5792261362075810,0.4585404098033910,,0.8855636715888980,,0.27360591292381300,0.096371911,-0.499694258,0.063427448,-0.109837554,0.12972986698150600,0.8855636715888980,1.2124897241592400,-0.049331784,0.2745467722415920,-0.105013765,0.46346136927604700,0.17171569168567700,0.15554401278495800,-0.019065848,0.11823748052120200,-0.116014875,0.3321443796157840,0.9039562344551090,0.28883814811706500,0.4585404098033910,0.32876068353653000,0.17148835957050300,0.3441711366176610,0.5007860064506530,0.24774178862571700,0.6071990132331850,0.5900505185127260,0.4763784408569340,0.5471607446670530,0.500891387,0.698954701,0.9236087799072270,0.2632371187210080,0.5856323838233950,0.25350701808929400,0.8274199366569520,0.5390012264251710,0.20867609977722200,0.25871601700782800,-0.053887788,0.4492878317832950
-1.1,0.1676112413406370,0.10127879679203000,0.22235338389873500,0.016215349989943200,0.4819289445877080,0.21023137867450700,,1.2841001749038700,,0.10321632027626000,0.12550780177116400,-0.51780957,0.049527906,-0.017141303,0.12600566446781200,1.2841001749038700,1.6502338647842400,-0.166375652,0.20515687763690900,-0.214940429,0.24436433613300300,0.2849927842617040,0.3049418032169340,-0.343441367,0.07032913,-0.296144068,0.24921679496765100,0.9164231419563290,0.17970050871372200,0.21023137867450700,0.6355108022689820,-0.721900225,0.5028645992279050,0.8880391716957090,0.073160782,0.15584230422973600,0.4373018443584440,0.8404156565666200,1.3302611112594600,-0.46709621,0.5293044447898870,0.6125667691230770,0.096944258,0.3604949414730070,0.1605278104543690,0.7302897572517400,0.042917434,0.24487827718257900,0.5088713765144350,-0.431200266,0.40507224202156100
-1,0.1992037445306780,0.1205948069691660,0.23018863797187800,-0.107731381,0.5417069301009180,-0.03208673,,0.8936721682548520,,0.1734716296195980,0.1370326280593870,-0.475976318,0.030187401920557000,-0.254649431,0.11524920165538800,0.8936721682548520,1.479898452758790,-0.196875617,0.22298429906368300,-0.312797546,0.29215240478515600,0.9340412020683290,0.176015705,-0.428674966,0.17726899683475500,-0.342358112,0.16269978880882300,0.8548398017883300,0.1362137347459790,-0.03208673,0.9039632678031920,-0.609846354,0.3854512870311740,0.4803351163864140,0.16011781990528100,-0.34895575,0.42728304862976100,0.8709630370140080,0.38712847232818600,0.15672869980335200,0.20766408741474200,0.6084084510803220,0.13056805729866000,0.587184727,0.11030300706625000,1.2927007675170900,0.17513583600521100,0.23954840004444100,0.40688377618789700,0.067873359,0.4047071635723110
-0.9,0.1883406788110730,0.11435165256261800,0.23806512355804400,-0.089844989,0.5622577488422390,0.6905282139778140,,0.8019878268241880,,0.12634986639022800,0.11364968121051800,-0.459282666,0.051120564341545100,0.055391107,0.12377922236919400,0.8019878268241880,1.2516803741455100,-0.148827091,0.2406376302242280,-0.280248106,0.1130833551287650,0.30738362669944800,0.095272057,-0.480629593,0.086603999,-0.407653809,0.20576611161232000,0.8049162030220030,0.10025855898857100,0.6905282139778140,0.9915444850921630,-0.54714936,0.34132230281829800,0.4785097539424900,0.1923736035823820,0.25502288341522200,0.37877142429351800,0.415730357,0.5027873516082760,-0.355437368,0.27313849329948400,0.5772234797477720,0.270324171,0.24946480989456200,0.20391355454921700,1.0556995868682900,0.1469646394252780,0.5991338491439820,0.032593105,0.15505002439022100,0.3497169017791750
-0.8,0.32175686955452000,0.11890047043561900,0.22752128541469600,-0.033380117,0.43022118285298300,0.7063872814178470,,0.9902451038360600,,0.26325029134750400,0.1490357220172880,-0.517607152,0.014874273911118500,-0.186439097,0.05122555,0.9902451038360600,1.0052316188812300,-0.097340256,0.23055396974086800,-0.350599498,0.19561970233917200,0.36787089705467200,0.40251392126083400,-0.446167082,0.10254660993814500,-0.398254633,0.31406426429748500,0.7808694839477540,0.11046428978443100,0.7063872814178470,0.5598149299621580,-0.297144264,0.46496787667274500,1.0067269802093500,0.14384299516677900,0.8464464545249940,0.4003046452999120,-0.206302777,0.2379274219274520,0.25668707489967300,0.5433402061462400,1.377161979675290,0.27637043595314000,0.6006004214286800,0.3678887188434600,1.1386462450027500,0.2077166587114330,1.0031352043151900,0.4404924213886260,-0.139784947,0.5465826392173770
-0.7,0.2537354528903960,0.043481126,0.2290821075439450,0.03822649,0.5002381324768060,0.9792538285255430,,0.4167095720767980,,0.2043747454881670,0.12016331404447600,-0.470974207,0.036517515778541600,-0.280191332,0.2761569023132320,0.4167095720767980,0.9426929950714110,0.022521297,0.21206742525100700,-0.216408744,0.17420847713947300,0.2417866438627240,0.098029345,-0.193024203,0.045162376,-0.457792193,0.19683873653411900,0.8344692587852480,0.067836456,0.9792538285255430,0.6715899109840390,-0.219072118,0.15043824911117600,0.18017087876796700,0.16225485503673600,0.9089422821998600,0.049986918,0.18899454176425900,0.43174490332603500,0.2143768072128300,0.41911235451698300,0.7023916244506840,0.46847784519195600,0.38536420464515700,0.11443375796079600,1.1589685678482100,0.5938634872436520,0.8948001861572270,0.3138130307197570,-0.216578051,0.31012359261512800
-0.6,0.12257964164018600,0.089938879,0.22511714696884200,-0.00679287,0.541494147,0.9067075252532960,,0.4184349477291110,,0.062580556,0.10969828814268100,-0.37675485,0.022135541,-0.326900333,0.27450188994407700,0.4184349477291110,0.9439787864685060,0.2502669394016270,0.46386080980300900,-0.211709976,0.10506492853164700,0.3257441520690920,0.38022372126579300,-0.213717446,0.23704034090042100,-0.28664729,0.38239494,0.7957484126091000,0.1378123164176940,0.9067075252532960,1.132358431816100,-0.363669008,0.4715029299259190,-0.104573399,0.34242576360702500,-0.028520236,0.130198672,-0.708711088,0.6959382891654970,0.4521508514881130,0.3364139199256900,0.6279770135879520,0.4088708162307740,0.7607226371765140,0.26296851,0.6191272735595700,0.45376139879226700,0.35718098282814000,0.47805312275886500,-0.441264629,0.24173447489738500
-0.5,0.095237263,0.093706124,0.21846142411232000,-0.011263681,0.4462480604648590,0.20279280841350600,,0.095334373,,0.089256562,0.099386416,-0.417143106,0.053635634,-0.167246506,0.39576590061187700,0.095334373,0.6862868070602420,0.5053068995475770,0.7873615026474000,-0.312586337,0.12148153781890900,-0.677224457,0.10885409265756600,-0.251887172,0.095603965,0.2958138883113860,1.0144895315170300,0.8983018398284910,0.21764525771141100,0.20279280841350600,1.3664950132370000,-0.601515651,0.6065488457679750,0.10645077377557800,0.36306190490722700,0.15138326585292800,0.5758345723152160,0.20319008827209500,0.3858633041381840,0.16425307095050800,0.30671292543411300,0.1538146436214450,0.10539429634809500,0.2116440087556840,0.14879390597343400,0.5731735825538640,0.22432078421115900,0.5195296406745910,0.6302658915519710,0.2513596713542940,0.3519776463508610
-0.4,0.24876344203949000,0.12445773184299500,0.217075914,0.053927822,0.46508930772542900,0.7677090167999270,,0.7636354565620420,,0.19132913649082200,0.1400446891784670,-0.488149494,0.052205332,-0.418272227,0.47738534212112400,0.7636354565620420,0.7350617051124570,0.8398677706718450,1.1098772287368800,-0.389270455,0.067354098,-0.934953213,0.24858491122722600,-0.29596433,0.2467731386423110,0.6510627865791320,1.4711556434631300,1.0003598928451500,0.28464359045028700,0.7677090167999270,1.059319257736210,-0.360798955,0.9655254483222960,0.16429299116134600,0.6957888007164000,0.6744685173034670,0.6467172503471380,0.008900086,0.5010671615600590,0.8749494552612310,0.5911130309104920,0.7980068325996400,0.4336686134338380,0.7886916995048520,0.2505098879337310,0.5322944521903990,0.6226634383201600,-0.205703899,0.4049335718154910,0.20414239168167100,0.4632565975189210
-0.3,0.4153886139392850,0.10923688113689400,0.20420226454734800,-0.039677475,0.4686620809137820,2.060281753540040,,1.0693916082382200,,0.28767216205596900,0.14069022238254500,-0.528454363,0.078995079,-0.586026251,0.23982715606689500,1.0693916082382200,1.289046287536620,0.9832897186279300,1.2582783699035600,-0.32072559,0.206707165,-0.651555955,0.8200405240058900,-0.193685576,0.15051579475402800,1.0160189867019700,1.7707693576812700,0.9651816487312320,0.37097057700157200,2.060281753540040,0.6948336362838750,0.1228463277220730,0.5943529605865480,-0.064424068,0.6976391673088070,1.0682854652404800,0.56815213,-0.107674986,0.34346091747283900,0.751712978,0.5229613184928890,0.47876057028770400,0.43144989013671900,0.5754314064979550,0.4270474910736080,0.7834718823432920,0.36177510023117100,0.6924893260002140,0.24295271933078800,0.1931576132774350,0.14431238174438500
-0.2,0.22001300752162900,0.1422509253025060,0.20683056116104100,0.030822118883952500,0.43221505880355800,0.012334883213043200,,1.2504570484161400,,0.1743037849664690,0.14833876490593000,-0.469977379,0.033298679,-0.569033086,0.17532022297382400,1.2504570484161400,1.2331879138946500,1.0740011930465700,1.3879159688949600,-0.500066221,0.1894940435886380,-0.619770229,0.38097813725471500,-0.153407589,0.3331622779369350,1.199773907661440,2.0814316272735600,0.9189634919166570,0.3073382079601290,0.012334883213043200,0.486045778,-0.841552794,0.8233476877212520,0.099180639,0.4616663157939910,0.4833239018917080,0.6468393206596380,0.10163979977369300,0.38104262948036200,0.7916212677955630,0.7623347043991090,0.5363102555274960,0.5421772003173830,-0.155933902,0.12145105749368700,0.8013668060302730,0.353056401,0.20707809925079300,0.081662223,0.23394985496997800,0.3910546898841860
-0.1,0.1386335790157320,0.15392105281353000,0.21102149784565000,-0.025940588,0.5607418492436410,-0.326405168,,1.3417277336120600,,0.097630508,0.1494833081960680,-0.479830861,0.06607753,-0.531832397,0.19323286414146400,1.3417277336120600,1.0420286655426000,0.8306183218955990,1.0362025499343900,-0.437331945,0.1757608950138090,-0.978214741,0.288716197,-0.375643164,0.22874510288238500,1.2234082221984900,2.0869383811950700,0.8581500053405760,0.32340383529663100,-0.326405168,0.6260740756988530,-0.751756728,0.8460583090782170,0.42442765831947300,1.0911753177642800,0.6825068593025210,0.6003760099411010,-0.210732773,0.1830483227968220,0.1995423585176470,0.6533724069595340,0.7221772074699400,0.26245197653770400,-0.0853661,0.2236069291830060,0.6510432362556460,0.4220084249973300,0.14161096513271300,0.2762080132961270,-0.125426978,0.086714409
