name,true_mean_post-pre,shuffled_mean_post-pre,shuffled_std_post-pre,z-score,p-value,modulation
population,0.002280338737909913,-0.0007873131700547185,0.012470467522195185,0.24599333605614737,0.367,0.0
up_modulated,0.2104855965662154,-0.0007571945365430437,0.04934799522481819,4.28067624916442,0.0,1.0
down_modulated,-0.10718777647858824,-0.0017367090785158355,0.04935910424029655,-2.136405613981597,0.005,-1.0
non_modulated,-0.006918726704263597,-0.0007719731692904072,0.012938538107006898,-0.47507326439332437,0.383,0.0
C000,0.10960737636152769,-0.0010664897698976965,0.07336853487159929,1.5084649887736392,0.06999999999999995,0.0
C001,-0.013225291291660984,-0.000729623860364731,0.04565586474553137,-0.27369249275952623,0.427,0.0
C002,-0.007695023996477382,-0.000420782945867152,0.046710993960431636,-0.15572867185768213,0.494,0.0
C003,0.014422466152178404,-0.0016350142494581368,0.07374163047665519,0.2177532595610284,0.38,0.0
C004,-0.09752511388226086,0.0030713632001247125,0.08741862369296938,-1.150744233124732,0.107,0.0
C005,0.014656661422657775,-0.0009307636883620203,0.05580282477334957,0.27933039544736576,0.34299999999999997,0.0
C006,-0.03371102184031097,-0.003889036295591271,0.07512512351866824,-0.3969642131411481,0.333,0.0
C007,-0.07655627983667795,-0.0017344561063794982,0.05624922500352287,-1.330184082102685,0.069,0.0
C008,-0.028357190044868433,-0.0007823786485524215,0.061156613237615655,-0.4508884638391903,0.385,0.0
C009,-0.13532585834706506,-0.0022065439154192695,0.08144575817508651,-1.6344536218261363,0.023,-1.0
C010,-0.06033309092807708,0.0004619917703990133,0.07555710639592982,-0.8046242848409433,0.196,0.0
C011,-0.04800983392060047,-0.0017682901432837074,0.08396765558379787,-0.5507066197789543,0.32,0.0
C012,0.061767624803020164,-0.0017102118533600472,0.07196955845679397,0.8820095331623904,0.17900000000000005,0.0
C013,-0.017593325445244196,-0.0031289063767514984,0.08551822124385676,-0.16913844626453517,0.47,0.0
C014,-0.0300392780487568,5.515848683393526e-07,0.06898650228301202,-0.43544503112201516,0.333,0.0
C015,-0.016290797282293813,-0.004803338455120929,0.07979586544158376,-0.14396057694972328,0.488,0.0
C016,-0.06624841922028549,-0.0036202443289270448,0.06633192978851572,-0.9441633175913039,0.172,0.0
C017,-0.042343253208522655,-0.0019132839145597626,0.06936762449953002,-0.5828362955435618,0.295,0.0
C018,-0.016294056218946383,-0.001493950412325423,0.07870322725081197,-0.1880495415957453,0.474,0.0
C019,0.1011576439609115,0.0005626080403445458,0.07167835151492784,1.4034228437803413,0.08299999999999996,0.0
C020,-0.04394819575781754,-0.0005188253660079271,0.07182863442856172,-0.6046247535863009,0.274,0.0
C021,-0.04464780833061217,-0.003692463765607888,0.07898679194084363,-0.5185087729056951,0.303,0.0
C022,-0.1327832626927853,-0.0060626105548306775,0.09804342414501262,-1.2924951697987057,0.065,0.0
C023,0.06632381956546145,-0.002857085721580128,0.06727464179122179,1.0283355428593084,0.16100000000000003,0.0
C024,-0.0039762162693767755,0.00078475033147531,0.06708020070109973,-0.07097424502449398,0.498,0.0
C025,-0.048043115321675205,-0.00334792849519568,0.07368119306263612,-0.6066023766537588,0.275,0.0
C026,-0.07265641370741194,0.0006381302633508953,0.06961495927952213,-1.0528562356327211,0.129,0.0
C027,-0.06674608474043017,0.0020653188493390015,0.08782485709541796,-0.7835071512272263,0.229,0.0
C028,-0.09962106389195133,-0.0011214655510587822,0.08143381192401027,-1.2095663461365063,0.116,0.0
C029,0.008923344789428585,-0.004981887905894076,0.06141479117497782,0.22641504480093483,0.393,0.0
C030,0.010498019329744326,0.00019510371106101095,0.07111057661940305,0.14488583989167214,0.42100000000000004,0.0
C031,0.011557309971055179,-0.003962893667113245,0.07971079297540956,0.19470642630485863,0.41200000000000003,0.0
C032,-0.0472634542331906,-0.0018644190664663493,0.05270683435280418,-0.8613500644496375,0.212,0.0
C033,0.10146362823806056,-0.001175223991189684,0.07589834696901597,1.3523199954690788,0.09099999999999997,0.0
C034,0.006611383231507645,-0.0013835830985171813,0.06716902684882287,0.11902757424220353,0.44699999999999995,0.0
C035,-0.06455120717704428,-0.002858766913249252,0.07615672858232972,-0.8100720896526171,0.205,0.0
C036,-0.05289130031963361,2.2275310375617334e-05,0.04908010723912278,-1.0781063572703589,0.131,0.0
C037,0.12093679267161793,-0.0030841500021965393,0.06029895613983854,2.056767655914293,0.030000000000000027,0.0
C038,-0.0563481699069329,-0.0035675361243536897,0.07084917491070694,-0.7449717494819103,0.251,0.0
