Time,population_mean,population_sem,population_shuffled_mean,up_modulated_mean,up_modulated_sem,down_modulated_mean,down_modulated_sem,non_modulated_mean,non_modulated_sem,C00_mean,C00_sem,C01_mean,C01_sem,C02_mean,C02_sem,C03_mean,C03_sem,C04_mean,C04_sem,C05_mean,C05_sem,C06_mean,C06_sem,C07_mean,C07_sem,C08_mean,C08_sem,C09_mean,C09_sem,C10_mean,C10_sem,C11_mean,C11_sem,C12_mean,C12_sem,C13_mean,C13_sem,C14_mean,C14_sem,C15_mean,C15_sem,C16_mean,C16_sem,C17_mean,C17_sem,C18_mean,C18_sem,C19_mean,C19_sem
-2,-0.015813235,0.041110643,0.006300437,,,,,-0.015813238,0.026743530626139437,-0.142932186,0.10608530094323168,-0.013189221,0.115208272,-0.051364357,0.1147475742308378,0.14628278189953767,0.17068179790978646,0.09531049,0.12447909265645281,0.057493784,0.11513060679163403,0.10200744949913812,0.10945844441944946,-0.157955986,0.1150681718093184,-0.188422066,0.1119569657026841,0.037314073,0.12264563282961437,-0.034802708,0.1194993880575078,0.2843517042995202,0.1256753016662331,-0.064372908,0.11511014297360676,-0.038562625,0.14369456300196834,-0.090358127,0.12996373153260285,-0.154043493,0.11808203069393863,0.01412799,0.13256802053850955,-0.14436951,0.13168647341118503,-0.043388889,0.13333453144172083,0.070609048,0.15290598688368426
-1.9,-0.00830764,0.048441031,0.004383483,,,,,-0.00830764,0.023661876,-0.095443765,0.1250055394117113,-0.020369609,0.13474320673777535,-0.011240869,0.1414723018555916,0.097208086,0.16191572294186776,0.035664209,0.12714763039208207,0.070854457,0.087916795,0.09641471,0.11292755286467379,-0.209427406,0.11151638748347847,-0.178023889,0.12254250500689871,-0.002293843,0.12415462492031885,-0.033468587,0.1350948410152011,0.22737301752533554,0.12066123507239952,-0.082311272,0.13185231170111567,-0.136773898,0.13366129852964137,-0.053466048,0.13324010193884206,-0.040334828,0.13616947293592335,-0.038937795,0.15471217493167808,0.024016206205453514,0.15504883159508243,0.12388985387910649,0.13110554621939197,0.060518475,0.15534948015672917
-1.8,-0.010945713,0.052365727,0.006142794,,,,,-0.010945714,0.024519346,-0.069646512,0.14043059452424794,0.010300262128266523,0.11409963916683108,-0.024570247,0.13845266625480476,0.067281442,0.16301168997026097,0.018697560237685464,0.12038985576883049,-0.022369369,0.09809173,0.026283355,0.11234286306939731,-0.190947613,0.10698485527921443,-0.220533284,0.13404921165928194,-0.061027051,0.15510128167727333,-0.066511598,0.13297596978324858,0.27553040683620944,0.13511057781314081,-0.12116491,0.1353129218571464,-0.023736403,0.15386616680395337,-0.036007252,0.15474578512841616,-0.043396249,0.14104903804913888,0.13893827756445082,0.14737922295228623,0.017246735,0.15642017684440498,-0.002955657,0.1436068760709245,0.10967382097195061,0.1547868994869775
-1.7,-0.085291843,0.056430312288256144,0.006295113,,,,,-0.085291845,0.027572135,-0.082672688,0.12238013516561264,-0.011932478,0.093836756,-0.00022815,0.12477637238743401,0.032164716495657865,0.15851563939546925,0.008801903,0.11035308231068136,0.022530019,0.095312185,0.078446738,0.10385666893106954,-0.213163062,0.10211949818134872,-0.189803421,0.13002275202160576,-0.085431672,0.10870170933665774,-0.15483999,0.11343731647096095,0.22080810902253636,0.1449484104541314,-0.115567656,0.12149049739467979,-0.07702016,0.14134549049750572,-0.223322074,0.13418071683297733,-0.170203337,0.13392732645592906,-0.291060179,0.1527893147294503,-0.213273412,0.16757942545992552,-0.142232812,0.14059956678963278,-0.097837287,0.16255844050070536
-1.6,-0.023664318,0.047810233,0.007972337,,,,,-0.023664318,0.025978718,-0.16636662,0.098231978,-0.038154064,0.092800248,-0.046165693,0.11903763833854969,0.008702939,0.1523639162612859,-0.014499607,0.096833448,0.18510565032330253,0.097664397,0.020855793026539515,0.089005011,-0.179719027,0.099764617,-0.169240006,0.12679142605238658,0.027195228799685556,0.15694732856321728,-0.022494447,0.11378971057091558,0.20556942915614201,0.12342037976397957,-0.150889412,0.1300277010586832,0.21013713252888816,0.16328792203379394,-0.060267218,0.11172826073673768,-0.091721563,0.1342082593867578,0.023444706901363185,0.1465940504402425,-0.048690235,0.15104237361019357,-0.1083509,0.14421780996098196,-0.057738451,0.15063681681191624
-1.5,-0.019721049,0.041715582692705123,0.006500245,,,,,-0.019721053,0.032000696949491536,-0.185257776,0.078437948,-0.004721963,0.098101447,0.007853921,0.13485997614765569,0.034411506,0.1491104996236844,0.029308012844818942,0.090529336,0.17570348458259172,0.11969479839526798,0.022604908,0.096570386,-0.200650882,0.095335923,-0.098314153,0.13156074381513416,-5.42E-05,0.14529394892655023,-0.147179059,0.1150578295059249,0.24310638361944342,0.12417703910463225,-0.30997379,0.11524303107180704,0.1985885979572557,0.13758573313154412,-0.031833862,0.1029435699748108,-0.212556246,0.1224617419977366,0.074368774,0.12733838714746248,0.061457493,0.13267226076044558,-0.080681417,0.12507465792585928,0.029399186653910944,0.14451499310776467
-1.4,-0.005109831,0.043878580857314234,0.001576483,,,,,-0.005109829,0.026946198048190345,-0.198678205,0.066149066,0.047219788,0.099537409,0.075246539,0.13883924349020685,0.097036605,0.1539587050939458,0.039579294,0.098458054,0.1309274935936731,0.14575400816434492,0.051558607908071215,0.10150168051477149,-0.219180908,0.10291224845704496,-0.05692564,0.14826623043059053,-0.208676196,0.14004448310226386,-0.083747134,0.11088635547227324,0.25527978807968915,0.11671549826203864,-0.015032697,0.11910013372511356,0.0423957,0.13975880390446513,0.039881246023864114,0.10766785972855626,-0.029041288,0.13250902497778264,-0.118410047,0.13274584435918768,0.090804314,0.1420913486344073,-0.063993772,0.14669891148170885,0.021559936714903364,0.15029295445324417
-1.3,0.017078968,0.044322869095302316,0.000704341,,,,,0.017078971161445567,0.033537867,-0.215074794,0.063505935,0.055845976,0.1048635294949938,0.033691715730248754,0.1255896375257223,0.095413072,0.1442361746877313,-0.075301917,0.083491876,0.11434511348324002,0.22902148137444492,-0.016573458,0.08815516,-0.189885699,0.11047051863127962,-0.044651734,0.1534432301428985,-0.105164371,0.12463273426071496,-0.080714671,0.13284947917486126,0.49022529674869664,0.12889166759278234,-0.04776945,0.10721736781163241,0.002911631,0.13991633808219112,0.038794147439371304,0.11236186811671908,0.036400699,0.12712799364917152,0.10030057723194642,0.13354440934018516,-0.028014733,0.13649193371472176,-0.027957014,0.1374085391685526,0.20475903619080782,0.15044594512474393
-1.2,0.017317182,0.041550407,-0.002728574,,,,,0.017317183710249838,0.026197732,-0.174477616,0.07911153,0.065309442,0.0952847,0.007554064,0.11866482643769699,0.060312682095001326,0.13910469560186167,-0.037120904,0.074368776,0.26871185135623477,0.21202872579138737,0.006764688,0.074982607,-0.202729328,0.10084309224645407,-0.032591788,0.14998547401713766,-0.027064298,0.14083479949774416,-0.025850585,0.11823310779135261,0.2608990317456565,0.1415101826359634,0.048718516381000575,0.1286322744819495,0.11704392973685039,0.13262071119341573,-0.014978676,0.12886746143068445,0.084708285,0.13239132040914783,-0.120861066,0.1277921553649254,-0.003220397,0.13775254898606457,-0.005602823,0.12112881177748477,0.070818667,0.1435944406271265
-1.1,-0.032093189,0.044659641,-0.004035971,,,,,-0.03209319,0.036817590457505565,-0.185727216,0.07890914,0.009490884,0.075857231,0.059545436,0.13525525435608285,0.027981307972574008,0.12280669850399988,0.04753451,0.11169109219694241,0.21903971245266357,0.16967700743606784,0.036895766151401235,0.10347773218409234,-0.20625728,0.094708546,-0.02712298,0.14578855123343748,-0.039829659,0.14486789236145356,-0.24729929,0.12946826560053942,0.32975877046514795,0.14075775677164887,-0.034813558,0.12467266637151629,0.20334580635546512,0.14244055554040422,-0.17709308,0.10743701254667036,-0.133301176,0.1323600745788276,-0.281436408,0.13370128452544172,-0.232048484,0.10066249519511646,-0.058307296,0.11936980079665452,0.047780429,0.12858171228307164
