Time,population_mean,population_sem,population_shuffled_mean,up_modulated_mean,up_modulated_sem,down_modulated_mean,down_modulated_sem,non_modulated_mean,non_modulated_sem,C00_mean,C00_sem,C01_mean,C01_sem,C02_mean,C02_sem,C03_mean,C03_sem,C04_mean,C04_sem,C05_mean,C05_sem,C06_mean,C06_sem,C07_mean,C07_sem,C08_mean,C08_sem,C09_mean,C09_sem,C10_mean,C10_sem,C11_mean,C11_sem,C12_mean,C12_sem,C13_mean,C13_sem,C14_mean,C14_sem,C15_mean,C15_sem,C16_mean,C16_sem,C17_mean,C17_sem,C18_mean,C18_sem,C19_mean,C19_sem
-2,-0.046746275,0.055748549,0.015152464,,,-0.101413448,,-0.043869049,0.045773517,-0.11931987,0.17023141574240633,-0.101413448,0.12231660694264772,-0.035181782,0.11456374278267578,0.36772844657815734,0.28106986967864545,0.07295416,0.15169590917001427,0.16190143263545528,0.16464019778501307,0.15827262234585038,0.12065547740804342,-0.367133651,0.13752098416586733,-0.409343318,0.14427197522002358,-0.023225438,0.17294531837334567,-0.073683421,0.14270443021838797,0.24877892151988787,0.14828927498533756,-0.115875737,0.14252937264810792,-0.02860465,0.17707364123262442,-0.08382324,0.14696002162199528,-0.310116164,0.14955465965505532,0.012840228,0.17166078792392422,-0.153249183,0.17967930664430276,-0.180544705,0.16741035129336038,0.044113409416428925,0.1998839950073808
-1.9,-0.044706112,0.065715392,0.008933745,,,-0.043185639,,-0.044786143,0.042451283,-0.126358208,0.1443899796011549,-0.043185639,0.18353786791450344,-0.091681716,0.13360319965501885,0.3318998887492665,0.2624027480025973,-0.040788631,0.14131504974944875,0.1355463624771299,0.11760144011163702,0.079334676,0.10766761845891763,-0.426849385,0.12470744149420065,-0.334874748,0.16770444240640436,-0.064447755,0.15177484347648906,-0.043009379,0.16019775623042237,0.2964997972393858,0.13917917804449734,-0.086960391,0.18109597,-0.139047592,0.17324256615071565,-0.143265867,0.15106068602226835,-0.176752687,0.2075693313376683,-0.052974176,0.18946769284709106,-0.113672382,0.19746767692558506,0.063266881,0.18263572803694667,0.0831986,0.20262139857866202
-1.8,-0.03737266,0.075126427,0.00927396,,,0.019715668,,-0.040377322,0.047337545387203736,-0.110576132,0.14491212604641246,0.019715668,0.16278065796163824,-0.06968686,0.12445866887637307,0.30877416889215337,0.2557468692190672,0.002055147,0.1556271528229971,0.10806583099324128,0.12864786497382383,0.015981621976042616,0.12844572186515701,-0.396137946,0.11968972225690479,-0.35366743,0.18801669103782254,-0.269927858,0.20539814952991445,-0.097125138,0.16616487079121028,0.4390647131869377,0.1568453715300316,-0.059781939,0.17077186802242017,-0.11557013,0.19008772610555674,-0.022779216,0.18186779974532044,-0.163515419,0.2148990087765173,0.099919553,0.1964984251553801,-0.155106158,0.22236923843765008,-0.095907758,0.20327263229968423,0.16875183383195563,0.17388614314367606
-1.7,-0.127789057,0.081060679,0.007803941,,,0.036209446,,-0.136420546,0.050588156921519675,-0.124033052,0.13101577607467838,0.036209446,0.1387126306587154,-0.068711474,0.13158844452037732,0.1975061492673282,0.23446331248797433,-0.029848573,0.1453989305050496,0.26316019783503025,0.10691751912489189,0.07090808,0.11788965178586051,-0.420913671,0.11614150562946536,-0.33148081,0.19416404468517937,-0.246815197,0.15111360406700117,-0.249950435,0.15015245040349903,0.21826189769239263,0.2014072998055286,-0.230136252,0.159894667,-0.159925811,0.1690981198013787,-0.330695502,0.1828079148326533,-0.395486766,0.2019794254406661,-0.365417823,0.22810490885994678,-0.318665382,0.2447395895196319,-0.20017619,0.1846547339006436,0.13043024807221032,0.19315822001985714
-1.6,-0.083531571,0.068819331,0.003855396,,,0.037999042,,-0.089927908,0.048351444700959215,-0.207159345,0.10605870886079627,0.037999042,0.13806335717070484,-0.108956006,0.1438525676980673,0.13747721062651996,0.20221395698144579,-0.010885838,0.12567415308970614,0.35198910219659063,0.10251985030976037,0.024620010100048165,0.11505810053526813,-0.363967595,0.105140176,-0.318109939,0.18487291164202313,-0.280321737,0.15959226253098757,-0.104707852,0.1692759315531171,0.21140006748991536,0.14813471521768612,-0.256279675,0.18618226111660924,0.1034314326042759,0.18660277438409026,-0.251618839,0.16712177947356016,-0.276259319,0.20131074821802755,-0.232887584,0.19351708974731377,-0.182571967,0.2116315339622417,-0.174196902,0.1994129455135682,0.23037451839652553,0.1732794334038532
-1.5,-0.060991728,0.056868986743042464,0.005336504,,,0.063208373,,-0.067528577,0.060490639887187114,-0.214132835,0.091145725,0.063208373,0.14412763307375423,-0.001303381,0.19311735717157696,0.13047807560912494,0.19950966198698045,0.058810113,0.134450865,0.4539906540564422,0.17561152096263016,0.068643603,0.1286613859824769,-0.391213811,0.097752844,-0.300316413,0.1790017419191458,-0.04621719,0.1817127081700114,-0.173864529,0.15476661272184936,0.4516708973538259,0.15808868318131988,-0.439546899,0.1487096294070854,0.00883531,0.15538960752302608,-0.211346027,0.13040945882205515,-0.480613083,0.17505466375386175,-0.08105812,0.16357493973927886,-0.107519248,0.18767793866506366,-0.221186368,0.16601000797877816,0.2128462796260057,0.19051066429223018
-1.4,-0.030058161,0.060778794495959895,0.002031258,,,0.13548738429130153,,-0.038771086,0.053005535,-0.222700046,0.074315634,0.13548738429130153,0.140856822,0.06746501,0.21883643147222953,0.1848242687511033,0.202252523,0.049237292,0.13645080149499536,0.3079771587428444,0.22260616444610506,0.074080629,0.14001348667099167,-0.417257412,0.099552442,-0.273383747,0.18711611972619727,-0.405180398,0.17367976675246613,-0.087454067,0.15214086640016336,0.4270456362644146,0.12272871134430519,-0.097265524,0.16578611346552724,0.050101915,0.1501908819471392,-0.177055206,0.14998801602541473,-0.135076464,0.1885074529158145,-0.19394336,0.18393393197457428,-0.136502573,0.1920009002736892,-0.028537187,0.20138616678574273,0.27697344442251426,0.20857055975246733
-1.3,-0.0459913,0.060645950842728016,0.005251647,,,0.16422393635429186,,-0.057055253,0.059406854,-0.230434918,0.069479466,0.16422393635429186,0.142218261,0.017226705,0.2061947321787301,0.09271532,0.16421840473746335,-0.051220564,0.1122688008743111,0.2921135662573165,0.40037407315672385,-0.043868692,0.11773627437489644,-0.402497163,0.10578761998210347,-0.313221157,0.16809225778122427,-0.301349262,0.170303178,-0.248856355,0.1931318869619122,0.5627592076900704,0.1626260532868029,-0.215760665,0.1433088381091117,-0.004833389,0.18848477940800445,-0.145243155,0.1581435883142415,-0.156392762,0.18920564781813648,-0.090422771,0.18512206104082363,-0.272628875,0.18282907730395467,-0.032277996,0.19525277010583822,0.46014311498609084,0.19411996139055418
-1.2,-0.001350248,0.050859075884507644,0.000286779,,,0.13553071898761496,,-0.008554513,0.057222623,-0.219519118,0.066066388,0.13553071898761496,0.12793829484727914,0.019359679057680327,0.19680964554908095,0.003965531,0.1392411806389353,-0.050704779,0.091474887,0.6257995377969126,0.3775367743974411,0.012377474457025528,0.07604541,-0.378035956,0.09885323,-0.276432195,0.15739129425889595,-0.120768686,0.18510045738096115,-0.005213077,0.13476799832677758,0.5152162138436889,0.165635585,-0.099442281,0.16310371493607798,0.035848851,0.1804796097963332,-0.116459869,0.1760983729074403,-0.028383358,0.16975844099737206,-0.165081712,0.1764522454101881,-0.179226877,0.1912726766698496,-0.039851327,0.12122234153254965,0.3040162088853259,0.1854727470521301
-1.1,-0.040985884,0.055771856,-0.000989575,,,0.093257217,,-0.048051306,0.055906401,-0.18758969,0.079905445,0.093257217,0.094732561,0.11185906557687397,0.2180881451530372,-0.012725441,0.12137959872344321,0.012701438450864676,0.1107786091741053,0.48396551705383023,0.28853521569170976,0.053237383671361826,0.12534936737426447,-0.365321673,0.10269127031059595,-0.222197516,0.16600996139283836,-0.03521153,0.17165866040418465,-0.262283581,0.17727057507750762,0.44141175238222913,0.17320276475820595,-0.117069752,0.14912699149423103,0.15650071669369936,0.1863408235378132,-0.172876615,0.13350345974998423,-0.207754804,0.17832110965693793,-0.304588379,0.18805146481796525,-0.36134004,0.13650620800046773,-0.107636888,0.15298098364029342,0.18394522779974445,0.17640456494878878
