name,true_mean_post-pre,shuffled_mean_post-pre,shuffled_std_post-pre,z-score,p-value,modulation
population,0.004573440651145691,-0.0010502879125855794,0.005278080519183451,1.065487451980231,0.134,0.0
up_modulated,0.10109535453633267,-0.003292065629487015,0.014995326647890016,6.961330194198069,0.0020000000000000018,1.0
down_modulated,-0.08808031974570979,0.0004440778075171777,0.011206632419397452,-7.899286265515495,0.001,-1.0
non_modulated,-0.0011959285223650945,-0.0007458093502884426,0.006729577151563061,-0.06688669465244244,0.454,0.0
C000,-0.050463390633666755,0.0018472741242589192,0.03798789055658528,-1.3770352602234057,0.084,0.0
C001,-0.047086813241768055,-0.00119214865523989,0.032676793463487244,-1.4045033102103623,0.079,0.0
C002,0.017441759268859318,-0.0015864931140193406,0.04350028616919825,0.43742821159535755,0.33399999999999996,0.0
C003,0.15427719869256468,-0.005929270827305131,0.03553846485175769,4.50797383027495,0.0010000000000000009,1.0
C004,,,,,0.0,-1.0
C005,-0.05008478144661949,0.0006571187735652879,0.0353791282591276,-1.4342326314129485,0.075,0.0
C006,,,,,0.0,-1.0
C007,-0.08923431457003317,0.003202070332787994,0.02729496390216369,-3.386572894331385,0.004,-1.0
C008,,,,,0.0,-1.0
C009,-0.0308055344420389,0.00015034174974803058,0.0356482440555494,-0.8683702945802739,0.197,0.0
C010,,,,,0.0,-1.0
C011,-0.014263463533736406,-0.0023974177915751676,0.03899404298632242,-0.3043040637341294,0.385,0.0
C012,,,,,0.0,-1.0
C013,-0.03151236783713171,0.0009882551897893179,0.036254371846412885,-0.8964607955312495,0.163,0.0
C014,-0.04714416273920219,0.005149431405934555,0.03493638569282198,-1.4968232433923745,0.066,0.0
C015,0.0811567046168934,-0.006192358842898943,0.04116509836094705,2.1219204359453103,0.016000000000000014,1.0
C016,,,,,0.0,-1.0
C017,0.11374494717212469,0.0012148219993186446,0.03724024282646081,3.0217344633652203,0.0030000000000000027,1.0
C018,-0.0798859245298627,0.0008549307399343701,0.03755649440957027,-2.1498506859900752,0.017,-1.0
C019,-0.03694747693053255,0.0025974723924182437,0.03443814719647747,-1.1482891079284216,0.127,0.0
C020,0.06338404190463481,-0.00341791531285584,0.02982492097516076,2.239803326658457,0.010000000000000009,1.0
C021,0.033089787069847,-0.0029683659607008376,0.03028208234948235,1.1907421892062924,0.11599999999999999,0.0
C022,0.018318718335947615,-0.003146977812777945,0.03340977879546617,0.6424974041324252,0.248,0.0
C023,0.08613846965188404,-0.010836241481051952,0.034479597476210516,2.8125244559436777,0.0010000000000000009,1.0
C024,,,,,0.0,-1.0
C025,-0.03279808586966393,0.00042681410616339754,0.03468054157610295,-0.9580271375785361,0.173,0.0
C026,0.05594522944904745,0.0038964641415027016,0.032474484981677106,1.6027587608213627,0.061000000000000054,0.0
C027,,,,,0.0,-1.0
C028,-0.07565232249310572,-0.0004387196861521069,0.03911434884261554,-1.9229158872001342,0.021,-1.0
C029,,,,,0.0,-1.0
