name,true_mean_post-pre,shuffled_mean_post-pre,shuffled_std_post-pre,z-score,p-value,modulation
population,0.00894514258124851,-0.002969870140637271,0.013522062150367454,0.8811535244690468,0.17500000000000004,0.0
up_modulated,0.12100039705660803,-0.0025155892673310253,0.02965635604978157,4.164907722196329,0.0050000000000000044,1.0
down_modulated,-0.12514616020724337,-0.00375777238352511,0.03332782346765316,-3.6422536845688005,0.001,-1.0
non_modulated,0.005344374399909979,-0.002974696501306827,0.01416974607751122,0.5871009159733631,0.272,0.0
C000,0.00848250930404898,0.0013509231028516401,0.044675997004981025,0.15962903302196532,0.44499999999999995,0.0
C001,-0.047576515995100155,0.001089941658063519,0.05059101290647122,-0.9619585546376483,0.151,0.0
C002,,,,,0.0,-1.0
C003,,,,,0.0,-1.0
C004,0.0026714625458212904,-0.004049666928096631,0.058237292797552985,0.11540937346250288,0.45899999999999996,0.0
C005,,,,,0.0,-1.0
C006,,,,,0.0,-1.0
C007,0.04302507274144762,-0.0035309128859775524,0.045029518091472334,1.0338992643192848,0.14800000000000002,0.0
C008,-0.003682998648977809,-0.0064407649863397354,0.04001263880497352,0.06892238102074737,0.482,0.0
C009,0.0872784918226775,-0.004144698208717705,0.040087345919579305,2.2805997237832263,0.015000000000000013,1.0
C010,0.009247636318085714,-0.005477231218767317,0.05316174426897963,0.27698240039586375,0.368,0.0
C011,,,,,0.0,-1.0
C012,-0.0028920116522384853,-0.005322877559253268,0.042753691905728836,0.056857450167690796,0.483,0.0
C013,,,,,0.0,-1.0
C014,,,,,0.0,-1.0
C015,-0.06307801024607945,0.005362797562994873,0.04800793154538654,-1.4256145933796505,0.062,0.0
C016,0.010854639743813232,0.0003125115504828058,0.06125218919256898,0.17211022711673757,0.41200000000000003,0.0
C017,0.0242478995646373,-0.002267280258076204,0.061099671107231975,0.43396599919790846,0.31399999999999995,0.0
C018,,,,,0.0,-1.0
C019,0.040149731219786926,0.0013435103448520204,0.04780147547257994,0.8118205660240565,0.20199999999999996,0.0
C020,0.019333363249108393,-0.004500153393423223,0.04241132419536675,0.5619611529397925,0.261,0.0
C021,,,,,0.0,-1.0
C022,,,,,0.0,-1.0
C023,0.13328215100661944,-0.0011119517970916183,0.04814453935021346,2.7914713613957383,0.0050000000000000044,1.0
C024,0.02010355367347877,0.00014397753340719585,0.053140221347986266,0.37560205121027285,0.372,0.0
C025,,,,,0.0,-1.0
C026,-0.009453441495569703,0.002593150546045911,0.055995220362588985,-0.2151360770367478,0.412,0.0
C027,-0.023884834446716185,-0.003368832525724382,0.05104627185739628,-0.401909898107851,0.326,0.0
C028,,,,,0.0,-1.0
C029,0.07861903513636204,-0.007903681830208908,0.05293583093351691,1.6344830229497376,0.04500000000000004,0.0
C030,,,,,0.0,-1.0
C031,,,,,0.0,-1.0
C032,-0.033247126121178305,-0.00606397724607262,0.05084221091419573,-0.5346570966589463,0.264,0.0
C033,,,,,0.0,-1.0
